"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0398,-0.0102
"2","PM",0.1,0.0794,-0.0206
"3","PM",0.25,0.2288,-0.0212
"4","PM",0.75,0.7512,0.0012
"5","PM",0.9,0.9224,0.0224
"6","PM",0.95,0.9636,0.0136
"7","CB",0.05,0.0566,0.0066
"8","CB",0.1,0.1044,0.0044
"9","CB",0.25,0.2608,0.0108
"10","CB",0.75,0.7434,-0.0066
"11","CB",0.9,0.9042,0.0042
"12","CB",0.95,0.9458,-0.0042
"13","GR",0.05,0.0657999999999999,0.0158
"14","GR",0.1,0.115,0.015
"15","GR",0.25,0.26,0.01
"16","GR",0.75,0.7362,-0.0138
"17","GR",0.9,0.912,0.012
"18","GR",0.95,0.9534,0.0034
"19","ML",0.05,0.0989999999999999,0.049
"20","ML",0.1,0.1544,0.0544
"21","ML",0.25,0.2864,0.0364
"22","ML",0.75,0.719,-0.031
"23","ML",0.9,0.9004,4e-04
"24","ML",0.95,0.9396,-0.0104
