"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0026,-0.0474
"2","PM",0.1,0.0068,-0.0932
"3","PM",0.25,0.0808,-0.1692
"4","PM",0.75,0.9384,0.1884
"5","PM",0.9,0.9879,0.0879
"6","PM",0.95,0.9959,0.0459
"7","CB",0.05,0.0419,-0.0081
"8","CB",0.1,0.0787,-0.0213
"9","CB",0.25,0.2188,-0.0312
"10","CB",0.75,0.7916,0.0416
"11","CB",0.9,0.9196,0.0196
"12","CB",0.95,0.9575,0.0075
"13","GR",0.05,0.0443,-0.0057
"14","GR",0.1,0.0786,-0.0214
"15","GR",0.25,0.2028,-0.0472
"16","GR",0.75,0.8038,0.0538
"17","GR",0.9,0.9209,0.0209
"18","GR",0.95,0.9536,0.0036
"19","ML",0.05,0.3079,0.2579
"20","ML",0.1,0.3576,0.2576
"21","ML",0.25,0.4263,0.1763
"22","ML",0.75,0.5692,-0.1808
"23","ML",0.9,0.6387,-0.2613
"24","ML",0.95,0.6887,-0.2613
