"","mean_PM","mean_CB","mean_GR","mean_ML","var_PM","var_CB","var_GR","var_ML"
"1",0.425898616667063,0.425898616667062,0.424882303376961,0.426212477907478,0.337583438772481,0.832084247826709,0.794023430342561,1.95568505779891
"2",-0.0757664479471367,-0.0757664479471367,-0.0778004591419988,-0.073093193969722,0.55862138353027,1.12669152500452,1.07784113408245,2.2000278807481
"3",-0.247036635412784,-0.247036635412784,-0.246432747603359,-0.246383556161873,0.370353030807717,0.897974659785881,0.86013698234066,2.1122928571591
"4",-0.245777151871911,-0.245777151871911,-0.246144714857745,-0.244010197499884,0.379822799008335,0.896189940583608,0.858781984091671,1.97462149039269
"5",-0.26374065651155,-0.26374065651155,-0.264047747053129,-0.263720752003988,0.0157231348731689,0.180878156037185,0.163061929966915,1.29056290372226
"6",-0.079378434801862,-0.079378434801862,-0.0785052831884004,-0.078370183348853,1.56375465792785,2.295345237726,2.22086511931161,3.32448089539236
"7",0.291994151566498,0.291994151566498,0.291307259648764,0.296690081008458,0.0878773040791268,0.405405611048106,0.378389630572943,1.48700590374975
"8",-0.134733283810307,-0.134733283810307,-0.135366245415656,-0.14061486531226,0.931135449011674,1.58769557769384,1.52236061920452,2.62349204900918
"9",-0.0266963009394108,-0.0266963009394108,-0.0279034712583441,-0.0308591272037753,1.48266269895711,2.2020495456419,2.13064079393046,3.23271460854913
"10",0.0500176840938209,0.0500176840938209,0.0489456425640297,0.0559121228384249,0.0409722237766744,0.285844137291343,0.266013980248607,1.3046748924256
"11",0.0855523897574617,0.0855523897574617,0.0853658942747791,0.0880255127936833,1.04269611148516,1.70834930010616,1.62599191672797,2.79351610658771
"12",0.0761653651425243,0.0761653651425243,0.0759472392105492,0.0827089441087961,0.764505233422683,1.38424469535336,1.34222068165074,2.38391307847419
"13",-0.185955159946278,-0.185955159946278,-0.185934204787708,-0.182066090957984,0.546416729456027,1.12514387603453,1.08565399897077,2.28725448751147
"14",-0.151225849773683,-0.151225849773683,-0.151206887203954,-0.143099688498177,0.0736344848703322,0.372581016760264,0.346235071767133,1.49125934700812
"15",-0.207034059669203,-0.207034059669203,-0.208555970055427,-0.208337738191207,0.762037996858104,1.38254480883876,1.31399754927013,2.4314653303171
"16",0.0776619699759726,0.0776619699759726,0.0764350647646195,0.0846366938058257,0.324158224902141,0.81609261409705,0.77424130587695,1.89756180515879
"17",-0.0837422401729256,-0.0837422401729256,-0.0839954254073527,-0.0771874171976779,0.776758965989735,1.40045634237304,1.34701559562498,2.46021969999772
"18",0.322689580582188,0.322689580582188,0.324676731525864,0.319863452360235,0.0755273502153445,0.382231864648582,0.345025943082654,1.63130289482195
"19",-0.331261616065896,-0.331261616065896,-0.331341428299621,-0.323028933207873,0.040260840299288,0.285157963109082,0.260036727622322,1.36625219808942
"20",0.0165398968274236,0.0165398968274236,0.0167930063770643,0.0122591918974026,0.73032316617596,1.34873290071778,1.30670143017929,2.38200282498155
"21",-0.150168109269872,-0.150168109269872,-0.152276333689185,-0.15080629378244,0.615606832988451,1.19963394616962,1.14592979620468,2.32701920802813
"22",-0.00452887473389372,-0.00452887473389375,-0.00506010333278298,-0.00783472845959277,1.00488439006333,1.67012065224857,1.62458538728893,2.66958840308453
"23",0.139345902103858,0.139345902103858,0.139854836441697,0.139808462172753,0.24807038059393,0.730832694243003,0.686655033545476,1.98601226518331
"24",-0.0914173213107081,-0.0914173213107081,-0.0920524392861088,-0.0937608534154411,0.144986994155963,0.525210222717516,0.493422461644467,1.68849298317241
"25",-0.235785437740704,-0.235785437740704,-0.235770618132734,-0.236373818471915,0.425409536646803,0.950441310491199,0.913772775622954,2.03789139977625
"26",0.158818461851883,0.158818461851883,0.159321674384867,0.151892526392803,0.138858844879678,0.520592774174769,0.48968529571201,1.6353770837476
"27",-0.183407059984924,-0.183407059984924,-0.183950792067244,-0.183467196920913,0.0106797416200384,0.160241231045734,0.136485061223849,1.33099047539256
"28",-0.351594939618223,-0.351594939618223,-0.351451479342364,-0.352374376511426,0.324833744061233,0.813134682964896,0.761203523967187,1.9717688205051
"29",0.0786767591848875,0.0786767591848875,0.0756701183917368,0.0752169690269107,0.152993684491913,0.537428814408745,0.494131281129522,1.71486243127341
"30",-0.417521995229479,-0.417521995229479,-0.417679152582462,-0.418549719925072,0.139529847292653,0.521389889146902,0.496119150753975,1.59672354096785
"31",-0.089280570188634,-0.089280570188634,-0.0908281688782412,-0.0864314104200683,1.72934980369276,2.47049965823027,2.37408603379118,3.50718747636729
"32",0.294224466800594,0.294224466800594,0.294855057424706,0.293170430985697,0.224139141772647,0.683884664265734,0.645615805306577,1.94392485748224
"33",-0.648174544129391,-0.648174544129391,-0.64959551435906,-0.651740779851098,0.380907779149705,0.895992053031281,0.848560461395897,2.02836554341635
"34",0.0183842638246145,0.0183842638246145,0.0176612496106759,0.0216925348453664,0.316882864382065,0.798835525664111,0.762906965137272,1.86252096590998
"35",-0.1874640768176,-0.1874640768176,-0.187614942648257,-0.192514250786017,0.169286482886973,0.574603068762527,0.540385340583705,1.80646661457786
"36",-0.111168416606063,-0.111168416606063,-0.111609980792118,-0.109820531950179,0.0254885734701905,0.231052421359507,0.208487180235075,1.26526238640674
"37",-0.726948674041952,-0.726948674041952,-0.726609441071015,-0.730475011349395,0.0794296957518691,0.377932562687773,0.353727010059584,1.54418858248299
"38",-0.386731156067409,-0.386731156067409,-0.388518010903725,-0.382482843027526,0.166666769751139,0.567251732414992,0.534196053419711,1.76444281206682
"39",-0.0742129708288357,-0.0742129708288357,-0.0743474777206216,-0.0729217685249198,0.329898296060623,0.830812257450556,0.792212978170536,1.95160286720887
"40",-0.0789833763796828,-0.0789833763796828,-0.0810811933026905,-0.0844984410166894,0.0986592290296166,0.435981609033769,0.397104106906891,1.76027613036405
"41",0.188548838050049,0.188548838050049,0.188095743828094,0.193210375678961,0.850156597303207,1.49559399382402,1.44254961575867,2.54928233863099
"42",-0.303351392103013,-0.303351392103013,-0.306148410142967,-0.301689759654232,0.281463078850423,0.757087877057084,0.710518369100788,1.81981770273417
"43",0.311456441230141,0.311456441230141,0.311790271696915,0.312693070095525,1.03673995960092,1.70278785025041,1.63179325456481,2.742609757983
"44",-0.49893516185068,-0.49893516185068,-0.501225170880377,-0.501502694550937,0.239972878503399,0.684590284787218,0.64063564583204,1.91209043589451
"45",-0.353970863907009,-0.353970863907009,-0.353811067841476,-0.360665389984382,0.362233556503714,0.86370125393234,0.834024678853186,1.91387107046084
"46",0.0950302922044269,0.0950302922044268,0.0941924233471313,0.104548437827013,1.90449028417123,2.6710649113198,2.58916535925278,3.67221990442585
"47",0.21814753058285,0.21814753058285,0.218083557739283,0.220245357799334,0.00311227825088104,0.104590688446547,0.0908824476506423,0.984828527539811
"48",0.50006671741323,0.50006671741323,0.499816035344251,0.489874287562394,1.00539724867227,1.65501149512991,1.60523516003676,2.71926958533575
"49",-0.349664671329848,-0.349664671329848,-0.34981675689699,-0.345887268653957,0.134999930996065,0.509791596426973,0.478601836432485,1.70795806490821
"50",0.421684269777111,0.421684269777111,0.420702745748984,0.424629458858825,1.78013835836521,2.53047872484637,2.47421961364461,3.53846149498827
"51",0.235010550682139,0.235010550682139,0.235152067259206,0.239742713471504,0.399294052144508,0.921808391427948,0.887595767521813,2.04360740475949
"52",-0.688308881640648,-0.688308881640648,-0.689321378686878,-0.682806249157896,0.0112776071677824,0.165285094304494,0.143086782264722,1.24812529034161
"53",-0.407154621172892,-0.407154621172892,-0.406849324213682,-0.406735748530275,1.07375237061767,1.74989747275264,1.70158399037339,2.78294269532252
"54",0.351172611654574,0.351172611654574,0.351461239888915,0.346135450501266,1.22886897031895,1.9147400717068,1.86543949225267,2.95740478288069
"55",-0.528828818267478,-0.528828818267478,-0.527392490653137,-0.52412050630994,0.576597493881563,1.1521006734822,1.10612966106843,2.27202067384624
"56",-0.396839175531991,-0.396839175531991,-0.396675573990198,-0.399533718187397,0.632084329419529,1.22000058773767,1.17870631459745,2.28690140724869
"57",0.00302699054492284,0.00302699054492288,0.0019659447480345,0.00894325788416265,0.210749339970115,0.649275728866166,0.614904888299711,1.85206003750835
"58",-0.244815823419614,-0.244815823419614,-0.245323407682938,-0.248864153889115,0.0100731015151287,0.154121517485365,0.137374852009241,1.20769181748303
"59",0.26607990290186,0.26607990290186,0.266652334112462,0.26629435597296,0.0488546554945135,0.30689773197368,0.273471313411475,1.544839964532
"60",-0.0692128818503435,-0.0692128818503435,-0.0681378162184104,-0.0687830280207146,0.536718856188816,1.11136586538003,1.06853563535648,2.25277900127245
"61",0.0669384446580973,0.0669384446580973,0.0660053103058296,0.0605670032852828,0.774779614077777,1.39036889157703,1.34104856463701,2.47399443894014
"62",0.163550782343885,0.163550782343885,0.164590553468183,0.16819753737696,0.430642875998898,0.969014105557607,0.936277443659964,2.10003010575554
"63",-0.352276145157987,-0.352276145157987,-0.35588139104642,-0.353442822664822,0.842637276520589,1.47826911433482,1.40616845435503,2.44327186164279
"64",-0.497479824853106,-0.497479824853106,-0.497811297687607,-0.49665887569131,0.00827892038449086,0.144736561012515,0.128180537266739,1.12721284582723
"65",0.177832913562116,0.177832913562116,0.178706845794724,0.173112044762941,0.357810424904175,0.870692714677908,0.837691050071523,1.97492514108217
"66",-0.229304045406083,-0.229304045406083,-0.22791023570498,-0.22590153208299,0.912042325067911,1.55631718664075,1.49909259692747,2.63069904943946
