"","var_true_theta"
"1",0.806442501996006
"2",0.523312634787819
"3",1.00767430378698
"4",0.99629048387276
"5",0.759422829499449
"6",0.841623125940452
"7",0.789064302713818
"8",0.951693806384273
"9",0.819568747843765
"10",0.829986199111456
"11",1.06250240454192
"12",1.03694433321267
"13",1.35021259857597
"14",0.95316123692395
"15",1.24822740013018
"16",0.811560554928443
"17",1.22666612431012
"18",1.04559708782163
"19",0.950809136789868
"20",0.83838950298017
"21",0.820241776671595
"22",1.16000222124453
"23",0.854471878459749
"24",0.870868241185184
"25",1.05751503960946
"26",0.904658725408006
"27",0.718528633247169
"28",1.32702134095267
"29",1.04221885091199
"30",0.902334534250092
"31",1.49069624581223
"32",0.588627067346967
"33",0.469626225716716
"34",1.32079207479416
"35",0.830678477436978
"36",1.16035868705446
"37",1.04416244654171
"38",0.840811359126334
"39",1.04369459115489
"40",0.797955172600769
"41",1.19259374637677
"42",0.621708370228821
"43",1.34831269989663
"44",0.845968969817042
"45",1.04109390264466
"46",1.4833676797468
"47",0.807400300836737
"48",1.18552885435543
"49",1.08902567479125
"50",1.62351697133893
"51",1.07937605053709
"52",0.810004637950406
"53",0.670196603541724
"54",0.761417304097018
"55",0.867942989222133
"56",0.976405068567934
"57",0.779817438311247
"58",0.973463953416393
"59",0.843480445131346
"60",1.47773288522596
"61",0.771946796530641
"62",0.715087436913738
"63",1.15546011794406
"64",1.03959244114276
"65",0.832603403991412
"66",0.937309015136176
"67",1.11005401385625
"68",1.11650914922796
"69",0.823182494161096
"70",1.33496115914003
"71",1.03423536458187
"72",1.11209635164495
"73",1.21424130206101
"74",1.45976537519455
"75",0.794913971753763
"76",1.08314822956168
"77",0.866701148841122
"78",0.83683536225377
"79",1.10901040796572
"80",1.114291878058
"81",1.04799201779908
"82",0.633397322972851
"83",1.24188745466516
"84",0.74371597589302
"85",0.94525810574317
"86",0.667226293471617
"87",1.31288566892135
"88",1.25043328346731
"89",0.7718708641884
"90",0.952310359147545
"91",1.21689381920448
"92",0.974576805867421
"93",1.50522996420785
"94",0.81977453648031
"95",0.725413669320355
"96",1.1805124671163
"97",0.972374985957696
"98",1.84759007962115
"99",1.21579415634648
"100",1.08222473814016
