"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,2e-04
"[-5.04,-4.8)",0,0,0,2e-04
"[-4.8,-4.56)",0,0,0,2e-04
"[-4.56,-4.32)",0,0,0,2e-04
"[-4.32,-4.08)",0,0,0,0.0014
"[-4.08,-3.84)",0,0,0,6e-04
"[-3.84,-3.6)",0,0,0,0.0018
"[-3.6,-3.36)",0,0,0,0.002
"[-3.36,-3.12)",0,0,0,0.003
"[-3.12,-2.88)",0,0,0,0.0036
"[-2.88,-2.64)",0,4e-04,2e-04,0.0054
"[-2.64,-2.4)",0,2e-04,2e-04,0.0062
"[-2.4,-2.16)",4e-04,0.001,0.002,0.0082
"[-2.16,-1.92)",4e-04,0.0036,0.006,0.012
"[-1.92,-1.68)",0.0024,0.0112,0.0116,0.0238
"[-1.68,-1.44)",0.0104,0.0246,0.0262,0.0312
"[-1.44,-1.2)",0.0266,0.042,0.0414,0.0472
"[-1.2,-0.96)",0.053,0.0752,0.0696,0.0726
"[-0.96,-0.72)",0.0912,0.0832,0.0882,0.0702
"[-0.72,-0.48)",0.1136,0.103,0.0984,0.0826
"[-0.48,-0.24)",0.131,0.1092,0.1022,0.0788
"[-0.24,0)",0.1288,0.101,0.0994,0.089
"[0,0.24)",0.104,0.0896,0.087,0.0682
"[0.24,0.48)",0.0858,0.0726,0.0732,0.0704
"[0.48,0.72)",0.0672,0.0612,0.066,0.0528
"[0.72,0.96)",0.0568,0.055,0.058,0.053
"[0.96,1.2)",0.0416,0.043,0.048,0.0454
"[1.2,1.44)",0.0284,0.0362,0.0358,0.038
"[1.44,1.68)",0.0194,0.0242,0.0256,0.025
"[1.68,1.92)",0.011,0.018,0.0186,0.0234
"[1.92,2.16)",0.0084,0.0124,0.0126,0.0176
"[2.16,2.4)",0.0082,0.0088,0.0108,0.017
"[2.4,2.64)",0.0054,0.0074,0.0074,0.0118
"[2.64,2.88)",0.0022,0.0068,0.006,0.0114
"[2.88,3.12)",0.002,0.0052,0.0026,0.008
"[3.12,3.36)",2e-04,0.0016,0.0014,0.004
"[3.36,3.6)",6e-04,0.0012,2e-04,0.003
"[3.6,3.84)",6e-04,6e-04,6e-04,0.0032
"[3.84,4.08)",2e-04,6e-04,6e-04,0.0016
"[4.08,4.32)",2e-04,4e-04,2e-04,0.0014
"[4.32,4.56)",0,2e-04,0,4e-04
"[4.56,4.8)",0,4e-04,0,0.0012
"[4.8,5.04)",0,0,0,6e-04
"[5.04,5.28)",0,0,0,8e-04
"[5.28,5.52)",0,0,0,4e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,4e-04
