"","quantity","estimator","value"
"1","mean","PM",-0.00816617040856952
"2","mean","CB",-0.00816617040856952
"3","mean","GR",-0.00818526972709417
"4","mean","ML",0.00529999333827511
"5","var","PM",0.514787475035205
"6","var","CB",1.04541028566791
"7","var","GR",1.02414876261026
"8","var","ML",2.50756486303696
"9","var","true",0.981772833104081
"10","SSEL","PM",0.517198651987468
"11","SSEL","CB",0.612674608295592
"12","SSEL","GR",0.622676993493779
"13","SSEL","ML",1.47917996493892
"14","WSSEL","PM",25.8599325993734
"15","WSSEL","CB",30.6337304147796
"16","WSSEL","GR",31.133849674689
"17","WSSEL","ML",73.9589982469458
"18","ISEL","PM",0.0354949572457567
"19","ISEL","CB",0.0188284302594203
"20","ISEL","GR",0.0150728172340984
"21","ISEL","ML",0.0463410613342165
"22","SELrank","PM",0.0512193771626298
"23","SELrank","CB",0.0512193771626298
"24","SELrank","GR",0.0512187620146098
"25","SELrank","ML",0.0576304498269896
