"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,2e-04
"[-5.76,-5.52)",0,0,0,2e-04
"[-5.52,-5.28)",0,0,0,8e-04
"[-5.28,-5.04)",0,0,0,4e-04
"[-5.04,-4.8)",0,0,0,0.0012
"[-4.8,-4.56)",0,0,0,4e-04
"[-4.56,-4.32)",0,0,0,0.0016
"[-4.32,-4.08)",0,2e-04,0,0.002
"[-4.08,-3.84)",0,2e-04,0,0.0026
"[-3.84,-3.6)",0,6e-04,0,0.0048
"[-3.6,-3.36)",0,2e-04,4e-04,0.0044
"[-3.36,-3.12)",0,0.0014,0,0.0076
"[-3.12,-2.88)",2e-04,0.0016,0.0016,0.0098
"[-2.88,-2.64)",6e-04,0.005,0.0038,0.0098
"[-2.64,-2.4)",8e-04,0.0048,0.0052,0.0122
"[-2.4,-2.16)",0.0018,0.0068,0.008,0.0194
"[-2.16,-1.92)",0.0064,0.0126,0.0138,0.0214
"[-1.92,-1.68)",0.007,0.0146,0.0194,0.029
"[-1.68,-1.44)",0.0114,0.031,0.0276,0.0376
"[-1.44,-1.2)",0.0208,0.0384,0.041,0.0444
"[-1.2,-0.96)",0.044,0.053,0.0534,0.0492
"[-0.96,-0.72)",0.064,0.072,0.0678,0.0558
"[-0.72,-0.48)",0.097,0.0756,0.0812,0.0576
"[-0.48,-0.24)",0.1172,0.089,0.0888,0.0632
"[-0.24,0)",0.141,0.0966,0.0932,0.0638
"[0,0.24)",0.1294,0.0998,0.0928,0.0658
"[0.24,0.48)",0.1178,0.0858,0.0872,0.0634
"[0.48,0.72)",0.0818,0.0784,0.0776,0.0582
"[0.72,0.96)",0.0668,0.0622,0.065,0.0544
"[0.96,1.2)",0.0386,0.0514,0.0526,0.0472
"[1.2,1.44)",0.0252,0.0408,0.0402,0.0482
"[1.44,1.68)",0.013,0.0258,0.0284,0.0334
"[1.68,1.92)",0.0072,0.0198,0.0194,0.0252
"[1.92,2.16)",0.0046,0.012,0.0128,0.0228
"[2.16,2.4)",0.002,0.0082,0.0078,0.0162
"[2.4,2.64)",8e-04,0.0042,0.0058,0.0166
"[2.64,2.88)",6e-04,0.0044,0.0028,0.0128
"[2.88,3.12)",0,0.0018,0.0014,0.008
"[3.12,3.36)",0,0.0012,6e-04,0.0072
"[3.36,3.6)",0,2e-04,4e-04,0.0044
"[3.6,3.84)",0,0,0,0.0044
"[3.84,4.08)",0,4e-04,0,0.0026
"[4.08,4.32)",0,0,0,0.0024
"[4.32,4.56)",0,0,0,0.0018
"[4.56,4.8)",0,0,0,0.0014
"[4.8,5.04)",0,0,0,0.001
"[5.04,5.28)",0,0,0,8e-04
"[5.28,5.52)",0,0,0,0.001
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,2e-04
