"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0184,-0.0316
"2","PM",0.1,0.041,-0.059
"3","PM",0.25,0.1726,-0.0774
"4","PM",0.75,0.8272,0.0772
"5","PM",0.9,0.956199999999999,0.0562
"6","PM",0.95,0.9826,0.0326
"7","CB",0.05,0.0512,0.0012
"8","CB",0.1,0.1026,0.0026
"9","CB",0.25,0.2558,0.0058
"10","CB",0.75,0.753,0.003
"11","CB",0.9,0.8968,-0.0032
"12","CB",0.95,0.944199999999999,-0.0058
"13","GR",0.05,0.055,0.005
"14","GR",0.1,0.1056,0.0056
"15","GR",0.25,0.2574,0.0074
"16","GR",0.75,0.7488,-0.0012
"17","GR",0.9,0.895,-0.005
"18","GR",0.95,0.9448,-0.0052
"19","ML",0.05,0.1326,0.0826
"20","ML",0.1,0.1964,0.0964
"21","ML",0.25,0.3262,0.0762
"22","ML",0.75,0.6794,-0.0706
"23","ML",0.9,0.8068,-0.0932
"24","ML",0.95,0.8644,-0.0856
