"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,8e-04,0,0.0052
"[-5.76,-5.52)",0,0,0,0.0048
"[-5.52,-5.28)",0,0,0,0.0052
"[-5.28,-5.04)",0,4e-04,4e-04,0.0068
"[-5.04,-4.8)",0,8e-04,0,0.008
"[-4.8,-4.56)",0,0.0012,0,0.008
"[-4.56,-4.32)",0,8e-04,0.0024,0.0116
"[-4.32,-4.08)",0,0.002,0.0012,0.01
"[-4.08,-3.84)",0,0.004,0.0044,0.0108
"[-3.84,-3.6)",0,0.0036,0.0044,0.01
"[-3.6,-3.36)",0,0.0036,0.004,0.0144
"[-3.36,-3.12)",0,0.0056,0.0068,0.0128
"[-3.12,-2.88)",4e-04,0.008,0.01,0.0176
"[-2.88,-2.64)",0.0016,0.0168,0.0112,0.0148
"[-2.64,-2.4)",8e-04,0.016,0.0128,0.0224
"[-2.4,-2.16)",4e-04,0.022,0.0188,0.0244
"[-2.16,-1.92)",0.004,0.022,0.0204,0.0244
"[-1.92,-1.68)",0.0072,0.0332,0.0288,0.0244
"[-1.68,-1.44)",0.0192,0.0356,0.0352,0.0208
"[-1.44,-1.2)",0.0452,0.036,0.0408,0.0244
"[-1.2,-0.96)",0.06,0.0476,0.0476,0.0284
"[-0.96,-0.72)",0.07,0.0536,0.0544,0.0324
"[-0.72,-0.48)",0.0812,0.048,0.058,0.0312
"[-0.48,-0.24)",0.1056,0.056,0.066,0.0348
"[-0.24,0)",0.1148,0.064,0.0632,0.0316
"[0,0.24)",0.0868,0.0632,0.068,0.026
"[0.24,0.48)",0.0772,0.0616,0.0604,0.0288
"[0.48,0.72)",0.072,0.0612,0.056,0.0276
"[0.72,0.96)",0.0628,0.0524,0.0536,0.028
"[0.96,1.2)",0.058,0.046,0.0448,0.0312
"[1.2,1.44)",0.0516,0.0404,0.0428,0.028
"[1.44,1.68)",0.0332,0.0368,0.0352,0.0228
"[1.68,1.92)",0.0196,0.0324,0.0288,0.0212
"[1.92,2.16)",0.0124,0.0256,0.0224,0.026
"[2.16,2.4)",0.006,0.022,0.0224,0.024
"[2.4,2.64)",0.0056,0.018,0.0176,0.0152
"[2.64,2.88)",0.002,0.012,0.0112,0.0232
"[2.88,3.12)",0.0016,0.0124,0.0124,0.0156
"[3.12,3.36)",4e-04,0.0084,0.0084,0.0152
"[3.36,3.6)",4e-04,0.0052,0.006,0.0132
"[3.6,3.84)",0,0.0064,0.006,0.014
"[3.84,4.08)",0,0.0032,0.0028,0.0104
"[4.08,4.32)",0,0.0032,0.002,0.0096
"[4.32,4.56)",0,0.002,0.0032,0.0152
"[4.56,4.8)",0,0.0016,0.0012,0.0104
"[4.8,5.04)",0,0.0012,0.0016,0.0068
"[5.04,5.28)",0,4e-04,4e-04,0.0104
"[5.28,5.52)",0,8e-04,0.0012,0.0072
"[5.52,5.76)",0,4e-04,4e-04,0.0032
"[5.76,6)",0,4e-04,4e-04,0.0092
