"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0429,-0.0071
"2","PM",0.1,0.0844,-0.0156
"3","PM",0.25,0.2293,-0.0207
"4","PM",0.75,0.7725,0.0225
"5","PM",0.9,0.921,0.021
"6","PM",0.95,0.9607,0.0107
"7","CB",0.05,0.0508,8e-04
"8","CB",0.1,0.0943,-0.0057
"9","CB",0.25,0.2412,-0.0088
"10","CB",0.75,0.7635,0.0135
"11","CB",0.9,0.9098,0.0098
"12","CB",0.95,0.9548,0.0048
"13","GR",0.05,0.0487,-0.0013
"14","GR",0.1,0.0946,-0.0054
"15","GR",0.25,0.2423,-0.0077
"16","GR",0.75,0.7622,0.0122
"17","GR",0.9,0.908500000000001,0.0085
"18","GR",0.95,0.9536,0.0036
"19","ML",0.05,0.0568,0.0068
"20","ML",0.1,0.1068,0.0068
"21","ML",0.25,0.2586,0.0086
"22","ML",0.75,0.7464,-0.0036
"23","ML",0.9,0.8957,-0.0043
"24","ML",0.95,0.9474,-0.0026
