"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.005
"[-5.76,-5.52)",0,0,0,0.0058
"[-5.52,-5.28)",0,4e-04,4e-04,0.0066
"[-5.28,-5.04)",0,2e-04,2e-04,0.0058
"[-5.04,-4.8)",0,8e-04,2e-04,0.0088
"[-4.8,-4.56)",0,2e-04,6e-04,0.0072
"[-4.56,-4.32)",2e-04,4e-04,8e-04,0.0098
"[-4.32,-4.08)",0,4e-04,6e-04,0.0098
"[-4.08,-3.84)",0,0.0014,0.0012,0.0116
"[-3.84,-3.6)",0,0.0014,0.001,0.0144
"[-3.6,-3.36)",0,0.0012,0.0026,0.0136
"[-3.36,-3.12)",0,0.002,0.0022,0.0158
"[-3.12,-2.88)",2e-04,0.0032,0.0024,0.019
"[-2.88,-2.64)",0.001,0.0048,0.0044,0.0184
"[-2.64,-2.4)",0.0012,0.0034,0.0052,0.0192
"[-2.4,-2.16)",0.001,0.009,0.0072,0.02
"[-2.16,-1.92)",0.0016,0.0102,0.009,0.0202
"[-1.92,-1.68)",0.0022,0.0152,0.0112,0.0226
"[-1.68,-1.44)",0.0038,0.0216,0.0174,0.0232
"[-1.44,-1.2)",0.0082,0.0256,0.0246,0.0304
"[-1.2,-0.96)",0.0212,0.0388,0.0366,0.0252
"[-0.96,-0.72)",0.0518,0.056,0.054,0.0302
"[-0.72,-0.48)",0.0486,0.0788,0.072,0.034
"[-0.48,-0.24)",0.1464,0.0924,0.0978,0.0348
"[-0.24,0)",0.1424,0.098,0.1106,0.0272
"[0,0.24)",0.1782,0.1054,0.1176,0.027
"[0.24,0.48)",0.1784,0.104,0.108,0.0304
"[0.48,0.72)",0.1062,0.0834,0.0876,0.028
"[0.72,0.96)",0.0366,0.0654,0.066,0.027
"[0.96,1.2)",0.036,0.0502,0.0466,0.0314
"[1.2,1.44)",0.021,0.0398,0.0334,0.0284
"[1.44,1.68)",0.0046,0.0252,0.0204,0.0232
"[1.68,1.92)",0.0036,0.0164,0.014,0.0276
"[1.92,2.16)",0.0014,0.011,0.011,0.0232
"[2.16,2.4)",0.0014,0.0104,0.0082,0.0212
"[2.4,2.64)",0.0012,0.0046,0.006,0.0184
"[2.64,2.88)",6e-04,0.0032,0.0044,0.017
"[2.88,3.12)",2e-04,0.004,0.0032,0.0176
"[3.12,3.36)",6e-04,0.0022,0.0022,0.015
"[3.36,3.6)",2e-04,0.0016,0.0022,0.0128
"[3.6,3.84)",0,0.0028,0.0016,0.0136
"[3.84,4.08)",0,0.0014,0.0018,0.0122
"[4.08,4.32)",0,0.0012,0.0012,0.0088
"[4.32,4.56)",0,4e-04,6e-04,0.0098
"[4.56,4.8)",0,6e-04,4e-04,0.0108
"[4.8,5.04)",0,2e-04,2e-04,0.0074
"[5.04,5.28)",0,4e-04,2e-04,0.007
"[5.28,5.52)",0,4e-04,2e-04,0.0066
"[5.52,5.76)",0,0,0,0.0068
"[5.76,6)",0,2e-04,2e-04,0.007
