"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0078,-0.0422
"2","PM",0.1,0.0162,-0.0838
"3","PM",0.25,0.0988,-0.1512
"4","PM",0.75,0.8816,0.1316
"5","PM",0.9,0.974,0.074
"6","PM",0.95,0.9902,0.0402
"7","CB",0.05,0.0574,0.0074
"8","CB",0.1,0.0904,-0.0096
"9","CB",0.25,0.2086,-0.0414
"10","CB",0.75,0.7448,-0.0052
"11","CB",0.9,0.8876,-0.0124
"12","CB",0.95,0.9358,-0.0142
"13","GR",0.05,0.0526,0.0026
"14","GR",0.1,0.0804,-0.0196
"15","GR",0.25,0.193,-0.057
"16","GR",0.75,0.7608,0.0108
"17","GR",0.9,0.9004,4e-04
"18","GR",0.95,0.9398,-0.0102
"19","ML",0.05,0.2948,0.2448
"20","ML",0.1,0.3364,0.2364
"21","ML",0.25,0.4068,0.1568
"22","ML",0.75,0.5754,-0.1746
"23","ML",0.9,0.6486,-0.2514
"24","ML",0.95,0.6904,-0.2596
