"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.008
"[-5.76,-5.52)",0,2e-04,0,0.0062
"[-5.52,-5.28)",0,2e-04,0,0.0056
"[-5.28,-5.04)",0,0,2e-04,0.0078
"[-5.04,-4.8)",0,2e-04,0,0.0074
"[-4.8,-4.56)",0,0,0,0.0096
"[-4.56,-4.32)",0,2e-04,6e-04,0.01
"[-4.32,-4.08)",0,8e-04,6e-04,0.011
"[-4.08,-3.84)",0,6e-04,0.0014,0.0096
"[-3.84,-3.6)",0,0.001,0.0012,0.0138
"[-3.6,-3.36)",0,0.001,2e-04,0.0138
"[-3.36,-3.12)",0,0.0014,0.0036,0.0138
"[-3.12,-2.88)",2e-04,0.003,0.003,0.0158
"[-2.88,-2.64)",0,0.0042,0.0016,0.0178
"[-2.64,-2.4)",2e-04,0.0056,0.006,0.021
"[-2.4,-2.16)",6e-04,0.008,0.008,0.022
"[-2.16,-1.92)",6e-04,0.0094,0.0078,0.019
"[-1.92,-1.68)",0.0012,0.0158,0.0138,0.0234
"[-1.68,-1.44)",0.0042,0.0226,0.018,0.0258
"[-1.44,-1.2)",0.0112,0.0292,0.0296,0.0284
"[-1.2,-0.96)",0.0376,0.0474,0.0402,0.0258
"[-0.96,-0.72)",0.0384,0.0616,0.058,0.0278
"[-0.72,-0.48)",0.0734,0.0758,0.0802,0.0288
"[-0.48,-0.24)",0.1226,0.0994,0.1044,0.0278
"[-0.24,0)",0.212,0.1074,0.1208,0.0356
"[0,0.24)",0.18,0.1124,0.1178,0.03
"[0.24,0.48)",0.1344,0.1012,0.1064,0.034
"[0.48,0.72)",0.1018,0.0832,0.0824,0.0274
"[0.72,0.96)",0.0388,0.0606,0.0608,0.0272
"[0.96,1.2)",0.0248,0.0414,0.0398,0.0306
"[1.2,1.44)",0.0072,0.0336,0.0258,0.029
"[1.44,1.68)",0.0042,0.0224,0.0174,0.0262
"[1.68,1.92)",0.003,0.014,0.013,0.0248
"[1.92,2.16)",0.0016,0.0094,0.0092,0.0188
"[2.16,2.4)",4e-04,0.0074,0.007,0.0222
"[2.4,2.64)",2e-04,0.0052,0.0048,0.0188
"[2.64,2.88)",6e-04,0.0034,0.0042,0.0192
"[2.88,3.12)",4e-04,0.002,0.0038,0.0178
"[3.12,3.36)",4e-04,0.0032,0.0022,0.015
"[3.36,3.6)",0,0.0016,0.0014,0.0136
"[3.6,3.84)",0,8e-04,0.0014,0.0136
"[3.84,4.08)",0,0.001,0.001,0.0106
"[4.08,4.32)",0,2e-04,6e-04,0.0098
"[4.32,4.56)",0,6e-04,4e-04,0.0086
"[4.56,4.8)",0,0,2e-04,0.0078
"[4.8,5.04)",0,4e-04,6e-04,0.0084
"[5.04,5.28)",0,0,4e-04,0.0066
"[5.28,5.52)",0,4e-04,2e-04,0.0076
"[5.52,5.76)",0,0,0,0.006
"[5.76,6)",0,4e-04,0,0.006
