"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0038,-0.0462
"2","PM",0.1,0.025,-0.075
"3","PM",0.25,0.1308,-0.1192
"4","PM",0.75,0.8584,0.1084
"5","PM",0.9,0.9792,0.0792
"6","PM",0.95,0.9914,0.0414
"7","CB",0.05,0.0612,0.0112
"8","CB",0.1,0.1124,0.0124
"9","CB",0.25,0.2594,0.0094
"10","CB",0.75,0.7388,-0.0112
"11","CB",0.9,0.8854,-0.0146
"12","CB",0.95,0.9392,-0.0108
"13","GR",0.05,0.0556,0.0056
"14","GR",0.1,0.1022,0.0022
"15","GR",0.25,0.2438,-0.0062
"16","GR",0.75,0.7546,0.0046
"17","GR",0.9,0.8984,-0.0016
"18","GR",0.95,0.943,-0.007
"19","ML",0.05,0.311,0.261
"20","ML",0.1,0.3584,0.2584
"21","ML",0.25,0.4248,0.1748
"22","ML",0.75,0.571,-0.179
"23","ML",0.9,0.6382,-0.2618
"24","ML",0.95,0.6904,-0.2596
