"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0312,-0.0188
"2","PM",0.1,0.0584,-0.0416
"3","PM",0.25,0.1876,-0.0624
"4","PM",0.75,0.8584,0.1084
"5","PM",0.9,0.9572,0.0572
"6","PM",0.95,0.9824,0.0324
"7","CB",0.05,0.0644,0.0144
"8","CB",0.1,0.1096,0.0096
"9","CB",0.25,0.2728,0.0228
"10","CB",0.75,0.776,0.026
"11","CB",0.9,0.9048,0.0048
"12","CB",0.95,0.9512,0.0012
"13","GR",0.05,0.0656,0.0156
"14","GR",0.1,0.1236,0.0236
"15","GR",0.25,0.2744,0.0244
"16","GR",0.75,0.7684,0.0184
"17","GR",0.9,0.9024,0.0024
"18","GR",0.95,0.9488,-0.0012
"19","ML",0.05,0.1592,0.1092
"20","ML",0.1,0.2184,0.1184
"21","ML",0.25,0.3496,0.0996
"22","ML",0.75,0.6636,-0.0864
"23","ML",0.9,0.794,-0.106
"24","ML",0.95,0.8532,-0.0968
