"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0142,-0.0358
"2","PM",0.1,0.0274,-0.0726
"3","PM",0.25,0.0782,-0.1718
"4","PM",0.75,0.7166,-0.0334
"5","PM",0.9,0.9952,0.0952
"6","PM",0.95,0.9986,0.0486
"7","CB",0.05,0.0961999999999999,0.0462
"8","CB",0.1,0.128,0.028
"9","CB",0.25,0.2138,-0.0362
"10","CB",0.75,0.6246,-0.1254
"11","CB",0.9,0.9382,0.0382
"12","CB",0.95,0.9608,0.0108
"13","GR",0.05,0.0791999999999999,0.0292
"14","GR",0.1,0.1102,0.0102
"15","GR",0.25,0.1892,-0.0608
"16","GR",0.75,0.6386,-0.1114
"17","GR",0.9,0.9482,0.0482
"18","GR",0.95,0.9678,0.0178
"19","ML",0.05,0.3434,0.2934
"20","ML",0.1,0.3672,0.2672
"21","ML",0.25,0.4132,0.1632
"22","ML",0.75,0.5364,-0.2136
"23","ML",0.9,0.6902,-0.2098
"24","ML",0.95,0.7294,-0.2206
