"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,2e-04,0.0064
"[-5.76,-5.52)",0,0,0,0.0072
"[-5.52,-5.28)",0,0,2e-04,0.0062
"[-5.28,-5.04)",0,0,2e-04,0.0058
"[-5.04,-4.8)",0,2e-04,0,0.0094
"[-4.8,-4.56)",0,0,6e-04,0.0106
"[-4.56,-4.32)",0,4e-04,6e-04,0.0106
"[-4.32,-4.08)",0,4e-04,8e-04,0.0108
"[-4.08,-3.84)",0,4e-04,0.001,0.012
"[-3.84,-3.6)",0,0.001,4e-04,0.0184
"[-3.6,-3.36)",0,0.0012,0.0022,0.0156
"[-3.36,-3.12)",0,0.0012,0.0022,0.0178
"[-3.12,-2.88)",0,0.0026,0.0028,0.0166
"[-2.88,-2.64)",0,0.0036,0.0036,0.0216
"[-2.64,-2.4)",0,0.0064,0.0056,0.0218
"[-2.4,-2.16)",6e-04,0.0074,0.0052,0.0248
"[-2.16,-1.92)",8e-04,0.0102,0.0082,0.0244
"[-1.92,-1.68)",0.0012,0.018,0.012,0.026
"[-1.68,-1.44)",0.0034,0.024,0.0174,0.0266
"[-1.44,-1.2)",0.0088,0.0336,0.0276,0.0264
"[-1.2,-0.96)",0.0246,0.0504,0.0382,0.0314
"[-0.96,-0.72)",0.0448,0.0578,0.0566,0.0292
"[-0.72,-0.48)",0.0756,0.0728,0.0776,0.0282
"[-0.48,-0.24)",0.1062,0.0896,0.0972,0.0276
"[-0.24,0)",0.2002,0.0988,0.1104,0.0276
"[0,0.24)",0.1814,0.0982,0.1156,0.0324
"[0.24,0.48)",0.1476,0.0932,0.1086,0.0314
"[0.48,0.72)",0.1002,0.0778,0.0906,0.0294
"[0.72,0.96)",0.0686,0.069,0.07,0.0276
"[0.96,1.2)",0.0266,0.0554,0.0474,0.0278
"[1.2,1.44)",0.0042,0.038,0.0316,0.0256
"[1.44,1.68)",0.002,0.0344,0.0196,0.0274
"[1.68,1.92)",0.0018,0.0206,0.0114,0.0206
"[1.92,2.16)",0.0012,0.0106,0.011,0.0238
"[2.16,2.4)",2e-04,0.0074,0.0048,0.0212
"[2.4,2.64)",0,0.0054,0.0042,0.0218
"[2.64,2.88)",0,0.0034,0.0046,0.0224
"[2.88,3.12)",0,0.0012,0.0026,0.0188
"[3.12,3.36)",0,0.001,0.0014,0.0192
"[3.36,3.6)",0,0.0012,0.0012,0.015
"[3.6,3.84)",0,0.0016,0.0014,0.013
"[3.84,4.08)",0,4e-04,0.0018,0.0134
"[4.08,4.32)",0,0.0012,0,0.0142
"[4.32,4.56)",0,0,2e-04,0.0116
"[4.56,4.8)",0,0,4e-04,0.0112
"[4.8,5.04)",0,0,4e-04,0.0132
"[5.04,5.28)",0,0,2e-04,0.0102
"[5.28,5.52)",0,0,0,0.009
"[5.52,5.76)",0,0,0,0.0058
"[5.76,6)",0,0,2e-04,0.0048
