"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.014,-0.036
"2","PM",0.1,0.0282,-0.0718
"3","PM",0.25,0.093,-0.157
"4","PM",0.75,0.7482,-0.0018
"5","PM",0.9,0.997,0.097
"6","PM",0.95,0.9998,0.0498
"7","CB",0.05,0.1036,0.0536
"8","CB",0.1,0.1434,0.0434
"9","CB",0.25,0.2274,-0.0226
"10","CB",0.75,0.6336,-0.1164
"11","CB",0.9,0.9478,0.0478
"12","CB",0.95,0.9738,0.0238
"13","GR",0.05,0.0865999999999999,0.0366
"14","GR",0.1,0.1158,0.0158
"15","GR",0.25,0.1952,-0.0548
"16","GR",0.75,0.651,-0.099
"17","GR",0.9,0.9552,0.0552
"18","GR",0.95,0.9712,0.0212
"19","ML",0.05,0.347,0.297
"20","ML",0.1,0.373,0.273
"21","ML",0.25,0.4184,0.1684
"22","ML",0.75,0.5452,-0.2048
"23","ML",0.9,0.6992,-0.2008
"24","ML",0.95,0.7318,-0.2182
