"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0336,-0.0164
"2","PM",0.1,0.0691999999999999,-0.0308
"3","PM",0.25,0.1876,-0.0624
"4","PM",0.75,0.7532,0.0032
"5","PM",0.9,0.949,0.049
"6","PM",0.95,0.976,0.026
"7","CB",0.05,0.0717999999999999,0.0218
"8","CB",0.1,0.1216,0.0216
"9","CB",0.25,0.2422,-0.0078
"10","CB",0.75,0.729,-0.021
"11","CB",0.9,0.9218,0.0218
"12","CB",0.95,0.950799999999999,8e-04
"13","GR",0.05,0.0817999999999999,0.0318
"14","GR",0.1,0.127,0.027
"15","GR",0.25,0.2428,-0.0072
"16","GR",0.75,0.7038,-0.0462
"17","GR",0.9,0.932999999999999,0.033
"18","GR",0.95,0.962,0.012
"19","ML",0.05,0.133,0.083
"20","ML",0.1,0.1892,0.0892
"21","ML",0.25,0.3034,0.0534
"22","ML",0.75,0.6758,-0.0742
"23","ML",0.9,0.8794,-0.0206
"24","ML",0.95,0.9222,-0.0278
