"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0548,0.0048
"2","PM",0.1,0.0979999999999999,-0.002
"3","PM",0.25,0.2304,-0.0196
"4","PM",0.75,0.6892,-0.0608
"5","PM",0.9,0.942,0.042
"6","PM",0.95,0.9684,0.0184
"7","CB",0.05,0.0716,0.0216
"8","CB",0.1,0.122,0.022
"9","CB",0.25,0.2536,0.0036
"10","CB",0.75,0.678,-0.072
"11","CB",0.9,0.9332,0.0332
"12","CB",0.95,0.9592,0.0092
"13","GR",0.05,0.0752,0.0252
"14","GR",0.1,0.1264,0.0264
"15","GR",0.25,0.246,-0.004
"16","GR",0.75,0.6788,-0.0712
"17","GR",0.9,0.9384,0.0384
"18","GR",0.95,0.9632,0.0132
"19","ML",0.05,0.0912,0.0412
"20","ML",0.1,0.1476,0.0476
"21","ML",0.25,0.2808,0.0308
"22","ML",0.75,0.6648,-0.0852
"23","ML",0.9,0.9252,0.0252
"24","ML",0.95,0.9536,0.0036
