"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0052,-0.0448
"2","PM",0.1,0.0196,-0.0804
"3","PM",0.25,0.1106,-0.1394
"4","PM",0.75,0.8662,0.1162
"5","PM",0.9,0.9714,0.0714
"6","PM",0.95,0.996,0.046
"7","CB",0.05,0.0598,0.0098
"8","CB",0.1,0.1196,0.0196
"9","CB",0.25,0.2698,0.0198
"10","CB",0.75,0.7064,-0.0436
"11","CB",0.9,0.8638,-0.0362
"12","CB",0.95,0.928999999999999,-0.021
"13","GR",0.05,0.0524,0.0024
"14","GR",0.1,0.0951999999999999,-0.0048
"15","GR",0.25,0.2314,-0.0186
"16","GR",0.75,0.738,-0.012
"17","GR",0.9,0.8918,-0.0082
"18","GR",0.95,0.9414,-0.0086
"19","ML",0.05,0.317,0.267
"20","ML",0.1,0.3646,0.2646
"21","ML",0.25,0.4356,0.1856
"22","ML",0.75,0.566,-0.184
"23","ML",0.9,0.63,-0.27
"24","ML",0.95,0.677,-0.273
