"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0346,-0.0154
"2","PM",0.1,0.0653999999999999,-0.0346
"3","PM",0.25,0.1776,-0.0724
"4","PM",0.75,0.7532,0.0032
"5","PM",0.9,0.9682,0.0682
"6","PM",0.95,0.9834,0.0334
"7","CB",0.05,0.0994,0.0494
"8","CB",0.1,0.1476,0.0476
"9","CB",0.25,0.269,0.019
"10","CB",0.75,0.7032,-0.0468
"11","CB",0.9,0.932,0.032
"12","CB",0.95,0.956399999999999,0.0064
"13","GR",0.05,0.106,0.056
"14","GR",0.1,0.1556,0.0556
"15","GR",0.25,0.2718,0.0218
"16","GR",0.75,0.6822,-0.0678
"17","GR",0.9,0.933999999999999,0.034
"18","GR",0.95,0.9606,0.0106
"19","ML",0.05,0.2116,0.1616
"20","ML",0.1,0.2572,0.1572
"21","ML",0.25,0.3506,0.1006
"22","ML",0.75,0.6342,-0.1158
"23","ML",0.9,0.856,-0.044
"24","ML",0.95,0.8892,-0.0608
