"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,4e-04
"[-4.32,-4.08)",0,4e-04,0,8e-04
"[-4.08,-3.84)",0,4e-04,0,0.0016
"[-3.84,-3.6)",4e-04,4e-04,4e-04,8e-04
"[-3.6,-3.36)",0,0,0,4e-04
"[-3.36,-3.12)",8e-04,0.0024,0.0012,0.0032
"[-3.12,-2.88)",0.0012,0.0032,0.0024,0.0048
"[-2.88,-2.64)",0.002,0.0024,0.002,0.006
"[-2.64,-2.4)",0.0032,0.0028,0.0052,0.01
"[-2.4,-2.16)",0.0032,0.0092,0.01,0.014
"[-2.16,-1.92)",0.0068,0.0124,0.0092,0.0196
"[-1.92,-1.68)",0.0148,0.016,0.0192,0.0244
"[-1.68,-1.44)",0.0192,0.0228,0.0284,0.0344
"[-1.44,-1.2)",0.0248,0.0396,0.034,0.0396
"[-1.2,-0.96)",0.0484,0.0528,0.0516,0.0516
"[-0.96,-0.72)",0.0668,0.0704,0.0656,0.0744
"[-0.72,-0.48)",0.0956,0.0824,0.0852,0.0764
"[-0.48,-0.24)",0.104,0.0924,0.0932,0.0724
"[-0.24,0)",0.1228,0.104,0.0996,0.0724
"[0,0.24)",0.1152,0.086,0.1012,0.0728
"[0.24,0.48)",0.1056,0.1,0.0912,0.0776
"[0.48,0.72)",0.0784,0.0788,0.0768,0.0732
"[0.72,0.96)",0.0652,0.0576,0.0652,0.0636
"[0.96,1.2)",0.0448,0.0512,0.0468,0.0456
"[1.2,1.44)",0.0236,0.0388,0.0376,0.042
"[1.44,1.68)",0.024,0.0216,0.024,0.026
"[1.68,1.92)",0.0112,0.0168,0.0176,0.026
"[1.92,2.16)",0.0064,0.0124,0.0132,0.0216
"[2.16,2.4)",0.006,0.0096,0.0092,0.016
"[2.4,2.64)",0.002,0.0056,0.0048,0.0096
"[2.64,2.88)",0.0024,0.0032,0.0028,0.008
"[2.88,3.12)",4e-04,0.002,0.0016,0.0056
"[3.12,3.36)",8e-04,0.0016,8e-04,0.002
"[3.36,3.6)",0,4e-04,0,0.002
"[3.6,3.84)",0,4e-04,0,0
"[3.84,4.08)",0,0,0,8e-04
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,4e-04
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
