"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0404,-0.0096
"2","PM",0.1,0.0732,-0.0268
"3","PM",0.25,0.16,-0.09
"4","PM",0.75,0.7592,0.0092
"5","PM",0.9,0.9732,0.0732
"6","PM",0.95,0.9844,0.0344
"7","CB",0.05,0.0968,0.0468
"8","CB",0.1,0.1364,0.0364
"9","CB",0.25,0.238,-0.012
"10","CB",0.75,0.708000000000001,-0.042
"11","CB",0.9,0.9416,0.0416
"12","CB",0.95,0.96,0.01
"13","GR",0.05,0.1028,0.0528
"14","GR",0.1,0.1408,0.0408
"15","GR",0.25,0.2384,-0.0116
"16","GR",0.75,0.696,-0.054
"17","GR",0.9,0.946,0.046
"18","GR",0.95,0.9684,0.0184
"19","ML",0.05,0.212,0.162
"20","ML",0.1,0.2528,0.1528
"21","ML",0.25,0.3428,0.0928
"22","ML",0.75,0.6268,-0.1232
"23","ML",0.9,0.8592,-0.0408
"24","ML",0.95,0.8944,-0.0556
