"","WSEL_PM","WSEL_CB","WSEL_GR","WSEL_ML"
"1",1.23027189043993,3.02500682797787,3.00904294224639,9.55698305743612
"2",1.90582438990176,3.65086023888059,3.77975508684466,11.3854760310489
"3",1.54045134213548,3.72325627266325,3.89923954361236,12.2564311932774
"4",1.91486949796067,3.61324312317399,3.68242317192946,11.4564708371886
"5",1.60556058905751,3.45298698430324,3.37909192862537,10.7290268412607
"6",1.41168577193501,2.98357726968712,3.01307390822029,10.1372224572993
"7",1.34316477454218,2.98383715984369,2.99523716693918,10.3224938780085
"8",1.28318434061063,2.65865521075337,2.52295128666855,8.49888947944592
"9",1.69297666028501,3.64254667948205,3.46776841052295,10.8965936940612
"10",1.4433053815779,2.91777450994694,2.85543266667472,8.85662182275281
"11",1.47453912039102,3.20732592225746,3.21766392712123,11.1079240113522
"12",1.1522492737878,2.42338962692735,2.48629161240079,8.16074614476591
"13",1.30947005514932,2.75462721103375,2.82847250843002,9.40803735025998
"14",1.84200384604429,3.72489880973171,3.60607769616596,10.4636010244743
"15",1.58888906927227,3.24850434282315,3.18060291661024,10.0743966871179
"16",1.48532788503528,3.3167482655093,3.32137176577575,10.7033748599836
"17",1.52748485719245,3.56751981755259,3.57753831493626,11.6145354171897
"18",1.21123549534453,3.27917386669257,3.15726644772005,12.4053308876074
"19",1.29352128917562,2.66970791114264,2.51941857686921,8.72113478008819
"20",1.32444051908721,2.80113196834511,2.73554903286962,9.7213809227452
"21",1.44488771695762,3.15349210062738,3.06353990870581,10.2383765193466
"22",1.25069968189764,2.51735918529589,2.48647614544509,8.06352198504157
"23",1.34068602721918,2.5883194661131,2.56349512636345,9.2012683798149
"24",1.32931405623085,2.96156564303913,2.94576014272535,10.0215709962741
"25",1.3085934403742,3.11654567976463,3.00282118535723,10.7398842671653
"26",1.35895866138318,3.00861466823618,3.17431281466961,9.66801824916591
"27",1.42171714233635,3.57706002880136,3.30942704036419,12.8443583412696
"28",1.43653839410384,3.09246263125032,3.16864379733347,9.25269077153707
"29",1.51445690642618,3.11460304343373,3.08331077646343,9.56204266347034
"30",1.27833519403601,2.34743864311872,2.2732765806452,7.65728350737242
"31",1.14650260827512,2.58444518781576,2.54342022822712,10.8717974866047
"32",1.293233561069,2.69305875038769,2.64711117480826,8.6668731400351
"33",1.52559303375085,2.76302724274229,2.68449634269606,8.29452787396256
"34",1.58607401441275,3.11931509286056,3.20179917351557,9.28343269570783
"35",1.59157041043022,3.00342583428087,2.91233556228836,9.52673250658419
"36",1.49644931008146,3.15172095985685,2.98125838331634,10.4673248719237
"37",2.42130205767875,3.05092946711936,3.07645156752731,8.28081906062254
"38",1.42868202874729,2.76763749983297,2.88573837478942,9.23382188343813
"39",1.83704469119255,3.48034249341665,3.47992951029262,10.8733092440776
"40",1.92341071568925,3.91037543171562,3.91367681594304,11.8364547622883
"41",1.82560005796258,3.84578256716436,3.68741948402306,11.7944017471089
"42",1.11436717508739,2.66521183408967,2.69654953376791,9.19456170622792
"43",1.1112852619561,2.52791577385377,2.47406338824759,9.59843437317497
"44",1.35639595871964,2.84843115149938,2.89439584327947,9.61914552572075
"45",1.579959807703,4.46484626840697,3.69463652075903,14.2705884139089
"46",1.17938097088161,2.39535178402265,2.42068312191183,8.28086647124933
"47",1.42342836293811,2.94733872524221,2.73705120120063,9.24352936514733
"48",1.3346161860684,2.42030668020401,2.41762086657036,7.39260367649605
"49",1.5212074620603,2.67709477124023,2.53791768922225,8.55218449513195
"50",1.71437773580039,3.32640429719959,3.4707356985109,10.5449481517576
