"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0302,-0.0198
"2","PM",0.1,0.0768,-0.0232
"3","PM",0.25,0.2236,-0.0264
"4","PM",0.75,0.767,0.017
"5","PM",0.9,0.915,0.015
"6","PM",0.95,0.959999999999999,0.01
"7","CB",0.05,0.049,-0.001
"8","CB",0.1,0.105,0.005
"9","CB",0.25,0.2564,0.0064
"10","CB",0.75,0.7332,-0.0168
"11","CB",0.9,0.8824,-0.0176
"12","CB",0.95,0.943199999999999,-0.0068
"13","GR",0.05,0.0518,0.0018
"14","GR",0.1,0.1086,0.0086
"15","GR",0.25,0.262,0.012
"16","GR",0.75,0.7276,-0.0224
"17","GR",0.9,0.883,-0.017
"18","GR",0.95,0.9426,-0.0074
"19","ML",0.05,0.077,0.027
"20","ML",0.1,0.138,0.038
"21","ML",0.25,0.2918,0.0418
"22","ML",0.75,0.6982,-0.0518
"23","ML",0.9,0.8506,-0.0494
"24","ML",0.95,0.918800000000001,-0.0312
