"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,2e-04,0,2e-04
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",2e-04,0,2e-04,2e-04
"[-5.28,-5.04)",0,2e-04,0,0
"[-5.04,-4.8)",0,2e-04,0,4e-04
"[-4.8,-4.56)",2e-04,2e-04,2e-04,0
"[-4.56,-4.32)",2e-04,0,2e-04,4e-04
"[-4.32,-4.08)",2e-04,4e-04,2e-04,4e-04
"[-4.08,-3.84)",0,2e-04,0,4e-04
"[-3.84,-3.6)",6e-04,2e-04,6e-04,0.001
"[-3.6,-3.36)",2e-04,0.0012,4e-04,8e-04
"[-3.36,-3.12)",4e-04,0.0012,8e-04,0.0018
"[-3.12,-2.88)",0.0016,0.0014,0.0012,0.0032
"[-2.88,-2.64)",0.0012,0.0022,0.0014,0.0054
"[-2.64,-2.4)",0.0012,0.0044,0.0048,0.005
"[-2.4,-2.16)",0.0038,0.0058,0.005,0.0082
"[-2.16,-1.92)",0.0064,0.0074,0.0108,0.0144
"[-1.92,-1.68)",0.009,0.0134,0.0148,0.0196
"[-1.68,-1.44)",0.0148,0.022,0.0246,0.031
"[-1.44,-1.2)",0.0272,0.0346,0.032,0.0348
"[-1.2,-0.96)",0.0422,0.043,0.0474,0.0552
"[-0.96,-0.72)",0.059,0.0674,0.0658,0.0618
"[-0.72,-0.48)",0.089,0.0816,0.081,0.0752
"[-0.48,-0.24)",0.1092,0.0986,0.0972,0.0852
"[-0.24,0)",0.1308,0.1118,0.1066,0.0914
"[0,0.24)",0.1284,0.1098,0.1062,0.0892
"[0.24,0.48)",0.1048,0.0948,0.096,0.0894
"[0.48,0.72)",0.0874,0.0828,0.0814,0.0708
"[0.72,0.96)",0.0614,0.0614,0.065,0.067
"[0.96,1.2)",0.0458,0.048,0.0482,0.0492
"[1.2,1.44)",0.0248,0.0374,0.0366,0.0386
"[1.44,1.68)",0.0198,0.0208,0.0248,0.032
"[1.68,1.92)",0.012,0.0164,0.0158,0.0204
"[1.92,2.16)",0.0074,0.011,0.0122,0.0136
"[2.16,2.4)",0.0024,0.0078,0.0072,0.014
"[2.4,2.64)",0.0024,0.0032,0.0038,0.0062
"[2.64,2.88)",0.0016,0.002,0.0026,0.0032
"[2.88,3.12)",8e-04,0.0018,8e-04,0.0026
"[3.12,3.36)",6e-04,0.001,0.001,0.0022
"[3.36,3.6)",4e-04,0.001,8e-04,0.0014
"[3.6,3.84)",4e-04,4e-04,2e-04,6e-04
"[3.84,4.08)",0,6e-04,2e-04,0.0012
"[4.08,4.32)",0.001,0,6e-04,6e-04
"[4.32,4.56)",2e-04,8e-04,4e-04,2e-04
"[4.56,4.8)",4e-04,2e-04,4e-04,0
"[4.8,5.04)",2e-04,4e-04,2e-04,6e-04
"[5.04,5.28)",0,2e-04,0,0
"[5.28,5.52)",0,2e-04,0,6e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",2e-04,0,2e-04,0
