"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",2e-04,2e-04,0,8e-04
"[-5.76,-5.52)",0,4e-04,0,6e-04
"[-5.52,-5.28)",0,0,0,0.0014
"[-5.28,-5.04)",0,0,0,0.0018
"[-5.04,-4.8)",2e-04,0,2e-04,0.0018
"[-4.8,-4.56)",2e-04,2e-04,2e-04,0.0032
"[-4.56,-4.32)",2e-04,2e-04,2e-04,0.0018
"[-4.32,-4.08)",2e-04,0,2e-04,0.0046
"[-4.08,-3.84)",0,4e-04,0,0.0028
"[-3.84,-3.6)",0,6e-04,0,0.0062
"[-3.6,-3.36)",2e-04,0.0016,4e-04,0.0042
"[-3.36,-3.12)",2e-04,6e-04,0.001,0.0076
"[-3.12,-2.88)",0,0.002,0.0026,0.0102
"[-2.88,-2.64)",2e-04,0.0032,0.0036,0.0114
"[-2.64,-2.4)",0.0018,0.005,0.0052,0.015
"[-2.4,-2.16)",0.0016,0.0084,0.0072,0.0186
"[-2.16,-1.92)",0.0046,0.0104,0.0096,0.02
"[-1.92,-1.68)",0.0072,0.0126,0.0166,0.0258
"[-1.68,-1.44)",0.0118,0.0212,0.022,0.025
"[-1.44,-1.2)",0.0182,0.0272,0.0312,0.0416
"[-1.2,-0.96)",0.029,0.041,0.0462,0.0446
"[-0.96,-0.72)",0.0472,0.056,0.061,0.048
"[-0.72,-0.48)",0.0788,0.0766,0.0826,0.0586
"[-0.48,-0.24)",0.1224,0.1056,0.096,0.0674
"[-0.24,0)",0.1678,0.1238,0.1122,0.0696
"[0,0.24)",0.1694,0.12,0.11,0.067
"[0.24,0.48)",0.135,0.1116,0.1002,0.0654
"[0.48,0.72)",0.0872,0.0808,0.082,0.061
"[0.72,0.96)",0.048,0.0596,0.0634,0.058
"[0.96,1.2)",0.0282,0.0446,0.0452,0.0426
"[1.2,1.44)",0.014,0.0258,0.0314,0.0408
"[1.44,1.68)",0.0068,0.019,0.022,0.0312
"[1.68,1.92)",0.0044,0.0114,0.0146,0.0264
"[1.92,2.16)",0.005,0.006,0.0102,0.0198
"[2.16,2.4)",0.0018,0.0038,0.0078,0.018
"[2.4,2.64)",0.0022,0.0042,0.0054,0.0142
"[2.64,2.88)",0.0016,0.0034,0.0038,0.0118
"[2.88,3.12)",0.002,0.002,0.001,0.0088
"[3.12,3.36)",0.0012,0.003,0.0022,0.007
"[3.36,3.6)",0,0.0012,8e-04,0.0054
"[3.6,3.84)",4e-04,0.0014,6e-04,0.0032
"[3.84,4.08)",2e-04,0.0012,0,0.003
"[4.08,4.32)",4e-04,0.0016,6e-04,0.0036
"[4.32,4.56)",0,6e-04,0,0.0024
"[4.56,4.8)",2e-04,0,4e-04,0.003
"[4.8,5.04)",0,4e-04,0,0.0014
"[5.04,5.28)",0,2e-04,0,0.0016
"[5.28,5.52)",0,4e-04,0,0.0016
"[5.52,5.76)",0,0,0,8e-04
"[5.76,6)",0,0,0,2e-04
