"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0362,-0.0138
"2","PM",0.1,0.068,-0.032
"3","PM",0.25,0.1762,-0.0738
"4","PM",0.75,0.7498,-2e-04
"5","PM",0.9,0.976,0.076
"6","PM",0.95,0.9878,0.0378
"7","CB",0.05,0.1004,0.0504
"8","CB",0.1,0.1498,0.0498
"9","CB",0.25,0.2678,0.0178
"10","CB",0.75,0.6994,-0.0506
"11","CB",0.9,0.9412,0.0412
"12","CB",0.95,0.9608,0.0108
"13","GR",0.05,0.1078,0.0578
"14","GR",0.1,0.154,0.054
"15","GR",0.25,0.268,0.018
"16","GR",0.75,0.6844,-0.0656
"17","GR",0.9,0.944,0.044
"18","GR",0.95,0.968199999999999,0.0182
"19","ML",0.05,0.199,0.149
"20","ML",0.1,0.2516,0.1516
"21","ML",0.25,0.347,0.097
"22","ML",0.75,0.6364,-0.1136
"23","ML",0.9,0.8786,-0.0214
"24","ML",0.95,0.9148,-0.0352
