"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,2e-04
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",0,0,0,8e-04
"[-5.28,-5.04)",0,0,0,0.0012
"[-5.04,-4.8)",0,0,0,0.0014
"[-4.8,-4.56)",0,0,0,2e-04
"[-4.56,-4.32)",0,0,0,0.0016
"[-4.32,-4.08)",0,0,0,0.0028
"[-4.08,-3.84)",0,0,0,0.0016
"[-3.84,-3.6)",0,4e-04,0,0.0026
"[-3.6,-3.36)",0,0,2e-04,0.005
"[-3.36,-3.12)",0,4e-04,0,0.006
"[-3.12,-2.88)",0,4e-04,0.0012,0.008
"[-2.88,-2.64)",2e-04,0.0022,0.0022,0.01
"[-2.64,-2.4)",4e-04,0.0016,0.0032,0.012
"[-2.4,-2.16)",6e-04,0.0068,0.0072,0.0132
"[-2.16,-1.92)",0.002,0.0094,0.012,0.0254
"[-1.92,-1.68)",0.0054,0.0168,0.0186,0.0302
"[-1.68,-1.44)",0.0114,0.0276,0.0276,0.0394
"[-1.44,-1.2)",0.0236,0.0422,0.0424,0.0434
"[-1.2,-0.96)",0.0396,0.0642,0.0602,0.066
"[-0.96,-0.72)",0.0812,0.0808,0.0794,0.0656
"[-0.72,-0.48)",0.113,0.1022,0.0932,0.0606
"[-0.48,-0.24)",0.1422,0.0964,0.098,0.0704
"[-0.24,0)",0.1378,0.1016,0.0968,0.0648
"[0,0.24)",0.1246,0.0926,0.0904,0.062
"[0.24,0.48)",0.106,0.0836,0.0816,0.0636
"[0.48,0.72)",0.0688,0.0666,0.0684,0.055
"[0.72,0.96)",0.049,0.0502,0.0558,0.0456
"[0.96,1.2)",0.0328,0.0394,0.0428,0.039
"[1.2,1.44)",0.0212,0.03,0.0352,0.0444
"[1.44,1.68)",0.0152,0.0248,0.0266,0.0322
"[1.68,1.92)",0.0098,0.014,0.016,0.0264
"[1.92,2.16)",0.0048,0.015,0.0142,0.021
"[2.16,2.4)",0.0048,0.0094,0.01,0.0156
"[2.4,2.64)",0.0022,0.0058,0.0056,0.012
"[2.64,2.88)",0.0012,0.0044,0.005,0.0094
"[2.88,3.12)",4e-04,0.0048,0.0026,0.0082
"[3.12,3.36)",8e-04,0.0018,0.0014,0.0054
"[3.36,3.6)",0,0.0016,0.001,0.0058
"[3.6,3.84)",4e-04,6e-04,2e-04,0.0048
"[3.84,4.08)",2e-04,4e-04,2e-04,0.003
"[4.08,4.32)",2e-04,8e-04,2e-04,0.0028
"[4.32,4.56)",0,2e-04,4e-04,0.0026
"[4.56,4.8)",0,0,0,0.0016
"[4.8,5.04)",2e-04,4e-04,0,0.0014
"[5.04,5.28)",0,2e-04,2e-04,0.0016
"[5.28,5.52)",0,0,0,6e-04
"[5.52,5.76)",0,0,0,8e-04
"[5.76,6)",0,2e-04,0,0.001
