"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0251,-0.0249
"2","PM",0.1,0.0629,-0.0371
"3","PM",0.25,0.1959,-0.0541
"4","PM",0.75,0.7456,-0.0044
"5","PM",0.9,0.9278,0.0278
"6","PM",0.95,0.9799,0.0299
"7","CB",0.05,0.137,0.087
"8","CB",0.1,0.2016,0.1016
"9","CB",0.25,0.3252,0.0752
"10","CB",0.75,0.6349,-0.1151
"11","CB",0.9,0.7733,-0.1267
"12","CB",0.95,0.8478,-0.1022
"13","GR",0.05,0.1392,0.0892
"14","GR",0.1,0.2073,0.1073
"15","GR",0.25,0.3334,0.0834
"16","GR",0.75,0.6349,-0.1151
"17","GR",0.9,0.7693,-0.1307
"18","GR",0.95,0.8424,-0.1076
"19","ML",0.05,0.3025,0.2525
"20","ML",0.1,0.3508,0.2508
"21","ML",0.25,0.4235,0.1735
"22","ML",0.75,0.5713,-0.1787
"23","ML",0.9,0.6403,-0.2597
"24","ML",0.95,0.6869,-0.2631
