"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0012
"[-5.76,-5.52)",0,0,0,0.0016
"[-5.52,-5.28)",0,0,0,4e-04
"[-5.28,-5.04)",0,0,0,0.0014
"[-5.04,-4.8)",0,0,0,0.0014
"[-4.8,-4.56)",0,0,0,0.0014
"[-4.56,-4.32)",0,0,0,0.0022
"[-4.32,-4.08)",0,0,0,0.0032
"[-4.08,-3.84)",0,0,0,0.0036
"[-3.84,-3.6)",0,2e-04,2e-04,0.0044
"[-3.6,-3.36)",0,2e-04,0,0.005
"[-3.36,-3.12)",0,6e-04,4e-04,0.0044
"[-3.12,-2.88)",2e-04,0.0016,0.0016,0.008
"[-2.88,-2.64)",0,0.0018,0.0026,0.0092
"[-2.64,-2.4)",4e-04,0.0038,0.003,0.0136
"[-2.4,-2.16)",0.001,0.0044,0.0082,0.0158
"[-2.16,-1.92)",0.0034,0.0114,0.0096,0.0254
"[-1.92,-1.68)",0.0032,0.0166,0.0156,0.0238
"[-1.68,-1.44)",0.0088,0.026,0.0242,0.0362
"[-1.44,-1.2)",0.0212,0.032,0.0352,0.0458
"[-1.2,-0.96)",0.036,0.0442,0.0518,0.058
"[-0.96,-0.72)",0.0554,0.069,0.0708,0.062
"[-0.72,-0.48)",0.0958,0.0972,0.0896,0.0678
"[-0.48,-0.24)",0.157,0.1154,0.106,0.0648
"[-0.24,0)",0.167,0.1206,0.11,0.0614
"[0,0.24)",0.154,0.1082,0.1034,0.0626
"[0.24,0.48)",0.0988,0.093,0.0898,0.0612
"[0.48,0.72)",0.0654,0.06,0.0728,0.0458
"[0.72,0.96)",0.0442,0.0518,0.056,0.0454
"[0.96,1.2)",0.0336,0.0362,0.0426,0.0426
"[1.2,1.44)",0.019,0.0244,0.0306,0.0336
"[1.44,1.68)",0.0112,0.0238,0.0222,0.0334
"[1.68,1.92)",0.0088,0.0152,0.0168,0.0252
"[1.92,2.16)",0.0054,0.0102,0.0122,0.0212
"[2.16,2.4)",0.0042,0.0104,0.0074,0.0206
"[2.4,2.64)",0.0024,0.006,0.006,0.0178
"[2.64,2.88)",8e-04,0.0036,0.0054,0.0114
"[2.88,3.12)",0.001,0.0036,0.002,0.0102
"[3.12,3.36)",8e-04,0.0032,0.0018,0.0072
"[3.36,3.6)",4e-04,0.0018,8e-04,0.0056
"[3.6,3.84)",2e-04,8e-04,6e-04,0.004
"[3.84,4.08)",4e-04,6e-04,4e-04,0.003
"[4.08,4.32)",0,8e-04,2e-04,0.0048
"[4.32,4.56)",0,6e-04,0,0.0038
"[4.56,4.8)",0,4e-04,2e-04,0.0026
"[4.8,5.04)",0,0,0,0.0026
"[5.04,5.28)",0,0,0,0.002
"[5.28,5.52)",0,4e-04,0,0.0022
"[5.52,5.76)",0,0,0,6e-04
"[5.76,6)",0,0,0,0.001
