"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0332,-0.0168
"2","PM",0.1,0.0728,-0.0272
"3","PM",0.25,0.2224,-0.0276
"4","PM",0.75,0.7952,0.0452
"5","PM",0.9,0.9288,0.0288
"6","PM",0.95,0.966,0.016
"7","CB",0.05,0.0516,0.0016
"8","CB",0.1,0.1028,0.0028
"9","CB",0.25,0.2612,0.0112
"10","CB",0.75,0.754,0.004
"11","CB",0.9,0.8996,-4e-04
"12","CB",0.95,0.9504,4e-04
"13","GR",0.05,0.0536,0.0036
"14","GR",0.1,0.106,0.006
"15","GR",0.25,0.2608,0.0108
"16","GR",0.75,0.7508,8e-04
"17","GR",0.9,0.8976,-0.0024
"18","GR",0.95,0.9508,8e-04
"19","ML",0.05,0.0788000000000001,0.0288
"20","ML",0.1,0.1424,0.0424
"21","ML",0.25,0.2956,0.0456
"22","ML",0.75,0.7156,-0.0344
"23","ML",0.9,0.8612,-0.0388
"24","ML",0.95,0.9244,-0.0256
