"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0328,-0.0172
"2","PM",0.1,0.0566,-0.0434
"3","PM",0.25,0.1436,-0.1064
"4","PM",0.75,0.7426,-0.0074
"5","PM",0.9,0.9808,0.0808
"6","PM",0.95,0.9928,0.0428
"7","CB",0.05,0.0917999999999999,0.0418
"8","CB",0.1,0.1328,0.0328
"9","CB",0.25,0.2364,-0.0136
"10","CB",0.75,0.681,-0.069
"11","CB",0.9,0.949,0.049
"12","CB",0.95,0.9702,0.0202
"13","GR",0.05,0.0957999999999999,0.0458
"14","GR",0.1,0.1328,0.0328
"15","GR",0.25,0.2268,-0.0232
"16","GR",0.75,0.68,-0.07
"17","GR",0.9,0.952,0.052
"18","GR",0.95,0.974,0.024
"19","ML",0.05,0.1896,0.1396
"20","ML",0.1,0.2332,0.1332
"21","ML",0.25,0.3296,0.0796
"22","ML",0.75,0.6258,-0.1242
"23","ML",0.9,0.8836,-0.0164
"24","ML",0.95,0.9212,-0.0288
