"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0472,-0.0028
"2","PM",0.1,0.0956,-0.0044
"3","PM",0.25,0.2416,-0.0084
"4","PM",0.75,0.7552,0.0052
"5","PM",0.9,0.9108,0.0108
"6","PM",0.95,0.9584,0.0084
"7","CB",0.05,0.0548,0.0048
"8","CB",0.1,0.1072,0.0072
"9","CB",0.25,0.2468,-0.0032
"10","CB",0.75,0.7464,-0.0036
"11","CB",0.9,0.8996,-4e-04
"12","CB",0.95,0.9492,-8e-04
"13","GR",0.05,0.0536,0.0036
"14","GR",0.1,0.1032,0.0032
"15","GR",0.25,0.248,-0.002
"16","GR",0.75,0.7484,-0.0016
"17","GR",0.9,0.8984,-0.0016
"18","GR",0.95,0.9532,0.0032
"19","ML",0.05,0.062,0.012
"20","ML",0.1,0.1208,0.0208
"21","ML",0.25,0.258,0.008
"22","ML",0.75,0.7364,-0.0136
"23","ML",0.9,0.8868,-0.0132
"24","ML",0.95,0.9388,-0.0112
