"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,2e-04,0.009
"[-5.76,-5.52)",0,0,2e-04,0.0082
"[-5.52,-5.28)",0,0,6e-04,0.0056
"[-5.28,-5.04)",0,4e-04,0,0.0098
"[-5.04,-4.8)",0,4e-04,2e-04,0.008
"[-4.8,-4.56)",0,4e-04,4e-04,0.0106
"[-4.56,-4.32)",0,2e-04,4e-04,0.013
"[-4.32,-4.08)",0,0.001,8e-04,0.0128
"[-4.08,-3.84)",0,6e-04,0.0012,0.0146
"[-3.84,-3.6)",2e-04,0.001,0.0018,0.0136
"[-3.6,-3.36)",2e-04,8e-04,0.0018,0.0182
"[-3.36,-3.12)",2e-04,0.0022,0.0024,0.0202
"[-3.12,-2.88)",0,0.0016,0.0034,0.02
"[-2.88,-2.64)",2e-04,0.0034,0.0022,0.0168
"[-2.64,-2.4)",4e-04,0.006,0.0058,0.0196
"[-2.4,-2.16)",8e-04,0.008,0.0062,0.02
"[-2.16,-1.92)",6e-04,0.012,0.0088,0.0238
"[-1.92,-1.68)",0.0016,0.0178,0.01,0.0238
"[-1.68,-1.44)",0.0026,0.0254,0.0172,0.0264
"[-1.44,-1.2)",0.0034,0.0318,0.029,0.0292
"[-1.2,-0.96)",0.0202,0.0526,0.0396,0.0274
"[-0.96,-0.72)",0.0298,0.062,0.0588,0.028
"[-0.72,-0.48)",0.0962,0.0766,0.081,0.0278
"[-0.48,-0.24)",0.1526,0.0886,0.1014,0.028
"[-0.24,0)",0.1766,0.0902,0.1126,0.0272
"[0,0.24)",0.1756,0.0946,0.112,0.0288
"[0.24,0.48)",0.135,0.094,0.1028,0.0266
"[0.48,0.72)",0.0964,0.083,0.0832,0.0302
"[0.72,0.96)",0.0642,0.0658,0.0636,0.0304
"[0.96,1.2)",0.0202,0.05,0.046,0.0246
"[1.2,1.44)",0.0122,0.0352,0.0302,0.0276
"[1.44,1.68)",0.0036,0.0272,0.0204,0.0278
"[1.68,1.92)",0.0034,0.0198,0.0144,0.0236
"[1.92,2.16)",0.002,0.012,0.0096,0.0248
"[2.16,2.4)",6e-04,0.0094,0.0052,0.0222
"[2.4,2.64)",0,0.006,0.0066,0.0202
"[2.64,2.88)",6e-04,0.0058,0.0044,0.0218
"[2.88,3.12)",2e-04,0.0032,0.0036,0.0196
"[3.12,3.36)",0,0.0032,0.0026,0.0208
"[3.36,3.6)",2e-04,0.0028,0.0022,0.0154
"[3.6,3.84)",0,0.001,0.0018,0.0156
"[3.84,4.08)",0,2e-04,0.0014,0.0172
"[4.08,4.32)",2e-04,0.001,6e-04,0.0142
"[4.32,4.56)",0,8e-04,4e-04,0.0106
"[4.56,4.8)",0,4e-04,8e-04,0.0124
"[4.8,5.04)",0,4e-04,6e-04,0.0108
"[5.04,5.28)",0,2e-04,0,0.008
"[5.28,5.52)",0,0,6e-04,0.0078
"[5.52,5.76)",0,0,4e-04,0.0068
"[5.76,6)",0,2e-04,0,0.0058
