"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0046,-0.0454
"2","PM",0.1,0.0086,-0.0914
"3","PM",0.25,0.07,-0.18
"4","PM",0.75,0.875,0.125
"5","PM",0.9,0.9814,0.0814
"6","PM",0.95,0.9922,0.0422
"7","CB",0.05,0.0592,0.0092
"8","CB",0.1,0.102,0.002
"9","CB",0.25,0.2424,-0.0076
"10","CB",0.75,0.7408,-0.0092
"11","CB",0.9,0.8836,-0.0164
"12","CB",0.95,0.9298,-0.0202
"13","GR",0.05,0.0492,-8e-04
"14","GR",0.1,0.0813999999999999,-0.0186
"15","GR",0.25,0.2046,-0.0454
"16","GR",0.75,0.771,0.021
"17","GR",0.9,0.9062,0.0062
"18","GR",0.95,0.9418,-0.0082
"19","ML",0.05,0.3024,0.2524
"20","ML",0.1,0.3418,0.2418
"21","ML",0.25,0.4156,0.1656
"22","ML",0.75,0.572,-0.178
"23","ML",0.9,0.6442,-0.2558
"24","ML",0.95,0.6846,-0.2654
