"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,4e-04
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,4e-04,0,4e-04
"[-4.32,-4.08)",4e-04,4e-04,4e-04,0
"[-4.08,-3.84)",4e-04,0,4e-04,0
"[-3.84,-3.6)",0,0,0,4e-04
"[-3.6,-3.36)",0,0,0,0.002
"[-3.36,-3.12)",0,0.0016,4e-04,8e-04
"[-3.12,-2.88)",0.0016,8e-04,0.0016,0.0016
"[-2.88,-2.64)",4e-04,0.002,8e-04,0.0032
"[-2.64,-2.4)",0.002,0.0024,0.004,0.0096
"[-2.4,-2.16)",0.0032,0.0076,0.006,0.0096
"[-2.16,-1.92)",0.0068,0.01,0.0116,0.0156
"[-1.92,-1.68)",0.0112,0.0188,0.0164,0.0252
"[-1.68,-1.44)",0.022,0.0248,0.026,0.0308
"[-1.44,-1.2)",0.0268,0.0352,0.0352,0.0412
"[-1.2,-0.96)",0.0404,0.0496,0.048,0.0504
"[-0.96,-0.72)",0.062,0.058,0.0596,0.0552
"[-0.72,-0.48)",0.0768,0.0776,0.08,0.0812
"[-0.48,-0.24)",0.106,0.0972,0.0908,0.0752
"[-0.24,0)",0.1356,0.1096,0.1028,0.0992
"[0,0.24)",0.104,0.088,0.1056,0.072
"[0.24,0.48)",0.1064,0.0956,0.0976,0.0784
"[0.48,0.72)",0.0972,0.0872,0.0828,0.0752
"[0.72,0.96)",0.066,0.0684,0.0668,0.0636
"[0.96,1.2)",0.0508,0.0524,0.0536,0.058
"[1.2,1.44)",0.0344,0.0424,0.0388,0.0456
"[1.44,1.68)",0.0196,0.0268,0.026,0.0356
"[1.68,1.92)",0.014,0.0176,0.0192,0.028
"[1.92,2.16)",0.006,0.0124,0.0144,0.0136
"[2.16,2.4)",0.0032,0.0056,0.0056,0.0116
"[2.4,2.64)",0.0016,0.0048,0.0036,0.0076
"[2.64,2.88)",4e-04,0.0016,4e-04,0.004
"[2.88,3.12)",4e-04,4e-04,0.0012,0.0032
"[3.12,3.36)",0,4e-04,0,4e-04
"[3.36,3.6)",0,0,0,8e-04
"[3.6,3.84)",4e-04,0,4e-04,0
"[3.84,4.08)",0,0,0,0
"[4.08,4.32)",0,4e-04,0,0
"[4.32,4.56)",0,0,0,4e-04
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
