"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0448,-0.0052
"2","PM",0.1,0.0772,-0.0228
"3","PM",0.25,0.1816,-0.0684
"4","PM",0.75,0.754,0.004
"5","PM",0.9,0.9664,0.0664
"6","PM",0.95,0.982799999999999,0.0328
"7","CB",0.05,0.1008,0.0508
"8","CB",0.1,0.15,0.05
"9","CB",0.25,0.2612,0.0112
"10","CB",0.75,0.7068,-0.0432
"11","CB",0.9,0.928,0.028
"12","CB",0.95,0.9552,0.0052
"13","GR",0.05,0.1048,0.0548
"14","GR",0.1,0.1448,0.0448
"15","GR",0.25,0.242,-0.008
"16","GR",0.75,0.6972,-0.0528
"17","GR",0.9,0.9396,0.0396
"18","GR",0.95,0.962399999999999,0.0124
"19","ML",0.05,0.2128,0.1628
"20","ML",0.1,0.26,0.16
"21","ML",0.25,0.3496,0.0996
"22","ML",0.75,0.6356,-0.1144
"23","ML",0.9,0.86,-0.04
"24","ML",0.95,0.8964,-0.0536
