"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,0
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,0
"[-3.84,-3.6)",0,0.0012,0,4e-04
"[-3.6,-3.36)",0.0012,0,0.0012,0.0012
"[-3.36,-3.12)",0,4e-04,0,0.002
"[-3.12,-2.88)",8e-04,8e-04,8e-04,0.0036
"[-2.88,-2.64)",8e-04,0.0032,8e-04,0.002
"[-2.64,-2.4)",0.0044,0.0044,0.0068,0.0084
"[-2.4,-2.16)",0.0048,0.0084,0.0068,0.008
"[-2.16,-1.92)",0.0108,0.0124,0.0136,0.0168
"[-1.92,-1.68)",0.0164,0.0192,0.0176,0.0216
"[-1.68,-1.44)",0.0268,0.0332,0.0348,0.034
"[-1.44,-1.2)",0.0408,0.0408,0.0392,0.044
"[-1.2,-0.96)",0.0484,0.0556,0.0556,0.0564
"[-0.96,-0.72)",0.0708,0.0612,0.0664,0.0652
"[-0.72,-0.48)",0.0756,0.0784,0.0772,0.0664
"[-0.48,-0.24)",0.0952,0.0908,0.0876,0.0896
"[-0.24,0)",0.1056,0.0912,0.0968,0.0816
"[0,0.24)",0.1068,0.0976,0.0964,0.0928
"[0.24,0.48)",0.0988,0.096,0.0924,0.0844
"[0.48,0.72)",0.0816,0.0776,0.072,0.0704
"[0.72,0.96)",0.0544,0.0544,0.0576,0.0528
"[0.96,1.2)",0.0496,0.0444,0.0548,0.052
"[1.2,1.44)",0.0412,0.0444,0.0412,0.0368
"[1.44,1.68)",0.0232,0.0304,0.0296,0.0404
"[1.68,1.92)",0.0196,0.0224,0.022,0.0232
"[1.92,2.16)",0.0116,0.0148,0.0128,0.0164
"[2.16,2.4)",0.0052,0.008,0.008,0.0108
"[2.4,2.64)",0.0028,0.0036,0.0036,0.008
"[2.64,2.88)",0.0012,0.0028,0.0024,0.0044
"[2.88,3.12)",0.0012,0.0012,0.0012,0.002
"[3.12,3.36)",4e-04,8e-04,8e-04,0.004
"[3.36,3.6)",0,4e-04,0,0
"[3.6,3.84)",0,0,0,0
"[3.84,4.08)",0,0,0,4e-04
"[4.08,4.32)",0,0,0,0
"[4.32,4.56)",0,0,0,0
"[4.56,4.8)",0,0,0,0
"[4.8,5.04)",0,0,0,0
"[5.04,5.28)",0,0,0,0
"[5.28,5.52)",0,0,0,0
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
