"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.04,-0.01
"2","PM",0.1,0.0852,-0.0148
"3","PM",0.25,0.2316,-0.0184
"4","PM",0.75,0.771600000000001,0.0216
"5","PM",0.9,0.9192,0.0192
"6","PM",0.95,0.9624,0.0124
"7","CB",0.05,0.0516,0.0016
"8","CB",0.1,0.1004,4e-04
"9","CB",0.25,0.2512,0.0012
"10","CB",0.75,0.7568,0.0068
"11","CB",0.9,0.9024,0.0024
"12","CB",0.95,0.9524,0.0024
"13","GR",0.05,0.0484,-0.0016
"14","GR",0.1,0.1048,0.0048
"15","GR",0.25,0.2588,0.0088
"16","GR",0.75,0.7424,-0.0076
"17","GR",0.9,0.900000000000001,0
"18","GR",0.95,0.9548,0.0048
"19","ML",0.05,0.068,0.018
"20","ML",0.1,0.1248,0.0248
"21","ML",0.25,0.2832,0.0332
"22","ML",0.75,0.726,-0.024
"23","ML",0.9,0.880800000000001,-0.0192
"24","ML",0.95,0.9404,-0.0096
