"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0302,-0.0198
"2","PM",0.1,0.0743999999999999,-0.0256
"3","PM",0.25,0.2174,-0.0326
"4","PM",0.75,0.7886,0.0386
"5","PM",0.9,0.9238,0.0238
"6","PM",0.95,0.964,0.014
"7","CB",0.05,0.0536,0.0036
"8","CB",0.1,0.1042,0.0042
"9","CB",0.25,0.2606,0.0106
"10","CB",0.75,0.7454,-0.0046
"11","CB",0.9,0.8882,-0.0118
"12","CB",0.95,0.943,-0.007
"13","GR",0.05,0.0562,0.0062
"14","GR",0.1,0.1154,0.0154
"15","GR",0.25,0.272,0.022
"16","GR",0.75,0.7298,-0.0202
"17","GR",0.9,0.883,-0.017
"18","GR",0.95,0.9416,-0.0084
"19","ML",0.05,0.1002,0.0502
"20","ML",0.1,0.1632,0.0632
"21","ML",0.25,0.3122,0.0622
"22","ML",0.75,0.695,-0.055
"23","ML",0.9,0.8356,-0.0644
"24","ML",0.95,0.9028,-0.0472
