"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0388,-0.0112
"2","PM",0.1,0.0720000000000001,-0.028
"3","PM",0.25,0.2176,-0.0324
"4","PM",0.75,0.7444,-0.0056
"5","PM",0.9,0.9064,0.0064
"6","PM",0.95,0.9596,0.0096
"7","CB",0.05,0.0472,-0.0028
"8","CB",0.1,0.0884,-0.0116
"9","CB",0.25,0.2428,-0.0072
"10","CB",0.75,0.738,-0.012
"11","CB",0.9,0.8952,-0.0048
"12","CB",0.95,0.944,-0.006
"13","GR",0.05,0.0588,0.0088
"14","GR",0.1,0.1,0
"15","GR",0.25,0.246,-0.004
"16","GR",0.75,0.7284,-0.0216
"17","GR",0.9,0.9048,0.0048
"18","GR",0.95,0.953199999999999,0.0032
"19","ML",0.05,0.0824,0.0324
"20","ML",0.1,0.1264,0.0264
"21","ML",0.25,0.2656,0.0156
"22","ML",0.75,0.716,-0.034
"23","ML",0.9,0.894,-0.006
"24","ML",0.95,0.937599999999999,-0.0124
