"","Est.","S.E.","t.value","p","Est.1","S.E.1","t.value1","p1","Est.2","S.E.2","t.value2","p2","Est.3","S.E.3","t.value3","p3","Est.4","S.E.4","t.value4","p4","Est.5","S.E.5","t.value5","p5"
"1",144.377077777721,6.95055719802177,20.7720149139716,5.21374310414096e-95,128.801327852927,6.74542877360394,19.094609427491,1.09552151864485e-80,115.766117283865,6.84161478218509,16.9208762798672,7.34513968367186e-64,151.957734567854,7.21549394803586,21.0599212835898,1.38803462741458e-97,140.148764197477,7.15845014695862,19.5780876195697,1.07288867459368e-84,111.05959999993,7.00127499984031,15.8627678533501,2.2051715067287e-56
"2",218.448044444317,2.71977792666347,80.3183386050573,0,216.235515006929,2.54485281656785,84.969752906401,0,229.435125925787,2.22526008765036,103.104858258634,0,210.023333333196,2.92566302252347,71.7865768259412,0,208.346740740609,2.68557325701747,77.5799878838507,0,216.805718518391,1.9598744960029,110.622245945115,0
"3",4442.33535925916,12.1230639867804,366.436683342043,0,4546.96602962955,11.9698552255466,379.868088957769,0,4719.11814074066,12.3419088476708,382.365337403319,0,4435.83149629617,12.5599679847802,353.17219770555,0,4518.32135185174,12.8207452219778,352.422676967816,0,4511.72092222214,12.8684926013874,350.602130488518,0
"4",-133.518022222278,8.41733094632135,-15.8622754735134,2.22235165696894e-56,-97.8928444444947,8.35656043103403,-11.7144901006097,1.30728894507518e-31,-74.8737592593024,8.58656294220614,-8.7198754336581,2.96036933769779e-18,-139.092255555613,8.57303350638575,-16.2243919205504,6.92839465829799e-59,-118.451544444501,8.72072759495776,-13.5827593689532,7.21295345444593e-42,-83.516551851903,8.84316332905707,-9.444194203389,3.89394538671322e-21
"5",-181.227981481375,7.40767962177439,-24.4648784416469,1.33920047330258e-130,-161.28556277062,7.36519606665009,-21.8983393396583,2.82436918764366e-105,-143.302785185085,7.41840692200193,-19.3171912368503,1.60675814985163e-82,-191.100162962851,7.88462317454982,-24.2370698931673,3.03723295666056e-128,-178.550144444336,7.95919288049286,-22.4331973260685,2.47834514552836e-110,-126.547925925825,7.8068865249193,-16.2097816487903,8.76622768902117e-59
"6",-78.2400629629829,7.51636465713393,-10.4092957875219,2.54286933614891e-25,-47.058534821374,7.57548221924897,-6.21195238262198,5.31807939718798e-10,-48.002855555565,7.71636491421889,-6.22091568882524,5.02340482718788e-10,-84.9539666666873,7.81316124385362,-10.8731874353058,1.79028698361111e-27,-73.7844777777988,8.0419112617157,-9.17499278176035,4.86589178640384e-20,-31.6151925926001,7.89886577327939,-4.00249776360921,6.28635715580424e-05
"7",-145.70472962965,7.95691571097689,-18.3117095771976,2.11941358107804e-74,-121.510409876559,7.82391972888024,-15.5306309480695,3.92521973944986e-54,-77.433951851864,7.99088063736573,-9.69029014021049,3.63754924632838e-22,-155.788951851872,8.15370059169225,-19.10653329736,8.74801705777884e-81,-133.975955555577,8.2450902664395,-16.249179963609,4.64587516786832e-59,-83.1664185185326,8.28460708199039,-10.0386678203877,1.14635020768999e-23
"8",-9.7031407407266,7.77453933617332,-1.24806632536797,0.212018819976779,-7.39736842096129,7.71131424339416,-0.959287637291943,0.337423426030735,-1.12583703701855,8.03172774600443,-0.14017370516308,0.888523911221845,-3.49126296294886,8.09264706044631,-0.431411741655309,0.666172849090998,-5.53045555554158,8.12589379031096,-0.680596583988817,0.496133287246048,-0.660325925910036,8.16378389930188,-0.0808847875023374,0.935534245653362
"9",-7.05976666665546,7.8228001348024,-0.902460314082124,0.366821357902799,-7.5880680322242,7.72250799526012,-0.982591152625749,0.325818503839092,-1.381570370354,8.01073963440975,-0.172464770221657,0.863073594934179,-4.71792222221079,8.14740425964196,-0.579070593757198,0.562546919769263,-3.90425925924747,8.12357963687557,-0.480608233533499,0.630799298378354,-4.42819999998658,8.16103143049252,-0.54260298317701,0.587408171205487
"10",1.05859079345273e-11,7.84235472655716,1.34983793817429e-12,0.999999999998923,1.30821245881422e-11,7.78106335066282,1.68127722376503e-12,0.999999999998659,1.8608301152575e-11,8.02168983935414,2.31974827314855e-12,0.999999999998149,1.09312939698044e-11,8.16004286771584,1.33961232152991e-12,0.999999999998931,1.00277981373215e-11,8.18043105023421,1.22582759707197e-12,0.999999999999022,1.35733230929595e-11,8.15480326518538,1.66445745551054e-12,0.999999999998672
"11",4.567207407423,7.97049342796186,0.573014387214781,0.566640265878858,6.60615458158781,7.79522164087995,0.847462058928974,0.396745990433342,8.81300370372462,8.01842110143564,1.0990946462199,0.27173769684188,5.46759629631491,8.15813303404108,0.670201904467666,0.502735472215007,6.73082962964601,8.22834854524189,0.818004924394964,0.413362413060777,8.19215555557172,8.22333943461175,0.9962078813251,0.319159091411842
"12",-113.51902222217,1.92803369038426,-58.878132051492,0,-102.664607407358,1.89917965184793,-54.0573438155068,0,-101.311911111062,1.64998100572441,-61.4018650878842,0,-107.685925925876,2.07074700715041,-52.0034198064901,0,-107.244637036988,1.92386707594481,-55.7443070667031,0,-104.134948148103,1.56344058120654,-66.6062717060475,0
"13",-2328.58722222217,9.81123410959882,-237.338870544736,0,-2243.3574481481,9.86645527713234,-227.372180295345,0,-2034.04809999995,10.244861174034,-198.543256511403,0,-2289.82198148143,10.0559725022215,-227.707661389843,0,-2322.30986666662,10.3329252144699,-224.748541043782,0,-2118.0192444444,10.5796618916946,-200.197252627432,0
"14",-190.635229629591,2.00849403833397,-94.9145110670686,0,-222.190249584881,2.04350457589257,-108.729998555463,0,-181.251703703665,1.72541009376301,-105.048477668498,0,-181.733185185156,2.17253353218166,-83.6503476209451,0,-181.946029629604,2.06559593565296,-88.0840373904437,0,-173.797437037007,1.53457959960477,-113.254103652732,0
"15",-3924.35855925933,8.50871185583782,-461.216530275006,0,-3919.3213444445,8.58830025091244,-456.355882996534,0,-3803.02171481487,8.74201884621966,-435.027855889309,0,-3792.37998888896,9.08959274597542,-417.222211695689,0,-3912.16988148156,9.33236522795005,-419.204540962967,0,-3708.310525926,9.3100522787672,-398.312535192019,0
