"","predictor_Gaussian","estimate_Gaussian","t-value_Gaussian","predictor_T","estimate_T","t-value_T","predictor_ALD","estimate_ALD","t-value_ALD","predictor_Bimodal","estimate_Bimodal","t-value_Bimodal","predictor_Skew","estimate_Skew","t-value_Skew","predictor_Mixed","estimate_Mixed","t-value_Mixed"
"1","(Intercept)",144,20.8,"(Intercept)",129,19.1,"(Intercept)",116,16.9,"(Intercept)",152,21.1,"(Intercept)",140,19.6,"(Intercept)",111,15.9
"2","NN50",218,80.3,"NN50",216,85,"NN50",229,103.1,"NN50",210,71.8,"NN50",208,77.6,"NN50",217,110.6
"3","NN200",4442,366.4,"NN200",4547,379.9,"NN200",4719,382.4,"NN200",4436,353.2,"NN200",4518,352.4,"NN200",4512,350.6
"4","II0.5",-134,-15.9,"II0.5",-98,-11.7,"II0.5",-75,-8.7,"II0.5",-139,-16.2,"II0.5",-118,-13.6,"II0.5",-84,-9.4
"5","II0.9",-181,-24.5,"II0.9",-161,-21.9,"II0.9",-143,-19.3,"II0.9",-191,-24.2,"II0.9",-179,-22.4,"II0.9",-127,-16.2
"6","RR5",-78,-10.4,"RR5",-47,-6.2,"RR5",-48,-6.2,"RR5",-85,-10.9,"RR5",-74,-9.2,"RR5",-32,-4
"7","RR10",-146,-18.3,"RR10",-122,-15.5,"RR10",-77,-9.7,"RR10",-156,-19.1,"RR10",-134,-16.2,"RR10",-83,-10
"8","anlDP_diffuse",-10,-1.2,"anlDP_diffuse",-7,-1,"anlDP_diffuse",-1,-0.1,"anlDP_diffuse",-3,-0.4,"anlDP_diffuse",-6,-0.7,"anlDP_diffuse",-1,-0.1
"9","anlDP_Inform",-7,-0.9,"anlDP_Inform",-8,-1,"anlDP_Inform",-1,-0.2,"anlDP_Inform",-5,-0.6,"anlDP_Inform",-4,-0.5,"anlDP_Inform",-4,-0.5
"10","estCB",0,0,"estCB",0,0,"estCB",0,0,"estCB",0,0,"estCB",0,0,"estCB",0,0
"11","estGR",5,0.6,"estGR",7,0.8,"estGR",9,1.1,"estGR",5,0.7,"estGR",7,0.8,"estGR",8,1
"12","NN50:II0.5",-114,-58.9,"NN50:II0.5",-103,-54.1,"NN50:II0.5",-101,-61.4,"NN50:II0.5",-108,-52,"NN50:II0.5",-107,-55.7,"NN50:II0.5",-104,-66.6
"13","NN200:II0.5",-2329,-237.3,"NN200:II0.5",-2243,-227.4,"NN200:II0.5",-2034,-198.5,"NN200:II0.5",-2290,-227.7,"NN200:II0.5",-2322,-224.7,"NN200:II0.5",-2118,-200.2
"14","NN50:II0.9",-191,-94.9,"NN50:II0.9",-222,-108.7,"NN50:II0.9",-181,-105,"NN50:II0.9",-182,-83.7,"NN50:II0.9",-182,-88.1,"NN50:II0.9",-174,-113.3
"15","NN200:II0.9",-3924,-461.2,"NN200:II0.9",-3919,-456.4,"NN200:II0.9",-3803,-435,"NN200:II0.9",-3792,-417.2,"NN200:II0.9",-3912,-419.2,"NN200:II0.9",-3708,-398.3
"16","NN50:RR5",-3,-1.9,"NN50:RR5",-1,-0.9,"NN50:RR5",-3,-1.9,"NN50:RR5",3,1.7,"NN50:RR5",5,3.2,"NN50:RR5",-4,-2.8
"17","NN200:RR5",-17,-2,"NN200:RR5",4,0.4,"NN200:RR5",-27,-3,"NN200:RR5",-66,-7.8,"NN200:RR5",-27,-3.2,"NN200:RR5",-34,-3.8
"18","NN50:RR10",-7,-3.6,"NN50:RR10",-7,-3.6,"NN50:RR10",-4,-2.4,"NN50:RR10",1,0.5,"NN50:RR10",2,0.8,"NN50:RR10",-4,-2.8
"19","NN200:RR10",-57,-6.6,"NN200:RR10",-43,-5,"NN200:RR10",-66,-7.3,"NN200:RR10",-83,-9.6,"NN200:RR10",-49,-5.6,"NN200:RR10",-9,-0.9
"20","NN50:anlDP_diffuse",0,0.3,"NN50:anlDP_diffuse",4,2.1,"NN50:anlDP_diffuse",0,-0.3,"NN50:anlDP_diffuse",0,-0.1,"NN50:anlDP_diffuse",0,0.2,"NN50:anlDP_diffuse",0,-0.3
"21","NN200:anlDP_diffuse",4,0.5,"NN200:anlDP_diffuse",1,0.1,"NN200:anlDP_diffuse",-8,-0.9,"NN200:anlDP_diffuse",-1,-0.2,"NN200:anlDP_diffuse",-1,-0.2,"NN200:anlDP_diffuse",-6,-0.6
"22","NN50:anlDP_Inform",0,0.2,"NN50:anlDP_Inform",0,-0.2,"NN50:anlDP_Inform",0,-0.3,"NN50:anlDP_Inform",0,0,"NN50:anlDP_Inform",0,0.2,"NN50:anlDP_Inform",0,-0.3
