"","predictor_Gaussian","estimate_Gaussian","t-value_Gaussian","predictor_T","estimate_T","t-value_T","predictor_ALD","estimate_ALD","t-value_ALD","predictor_Bimodal","estimate_Bimodal","t-value_Bimodal","predictor_Skew","estimate_Skew","t-value_Skew","predictor_Mixed","estimate_Mixed","t-value_Mixed"
"23","NN200:anlDP_Inform",-3,-0.4,"NN200:anlDP_Inform",-4,-0.4,"NN200:anlDP_Inform",-11,-1.3,"NN200:anlDP_Inform",-7,-0.8,"NN200:anlDP_Inform",-4,-0.4,"NN200:anlDP_Inform",-13,-1.4
"24","NN50:estCB",0,0,"NN50:estCB",0,0,"NN50:estCB",0,0,"NN50:estCB",0,0,"NN50:estCB",0,0,"NN50:estCB",0,0
"25","NN200:estCB",0,0,"NN200:estCB",0,0,"NN200:estCB",0,0,"NN200:estCB",0,0,"NN200:estCB",0,0,"NN200:estCB",0,0
"26","NN50:estGR",0,0,"NN50:estGR",0,0,"NN50:estGR",0,-0.2,"NN50:estGR",0,-0.1,"NN50:estGR",0,-0.1,"NN50:estGR",0,-0.1
"27","NN200:estGR",-3,-0.4,"NN200:estGR",-5,-0.6,"NN200:estGR",-10,-1.2,"NN200:estGR",-4,-0.5,"NN200:estGR",-3,-0.4,"NN200:estGR",-7,-0.8
"28","II0.5:RR5",105,13,"II0.5:RR5",49,5.9,"II0.5:RR5",55,6.6,"II0.5:RR5",101,12.2,"II0.5:RR5",89,10.4,"II0.5:RR5",35,4
"29","II0.9:RR5",120,17.2,"II0.9:RR5",81,11.5,"II0.9:RR5",90,12.6,"II0.9:RR5",145,19.3,"II0.9:RR5",127,16.3,"II0.9:RR5",67,9
"30","II0.5:RR10",180,21.4,"II0.5:RR10",136,16.4,"II0.5:RR10",69,7.9,"II0.5:RR10",203,23.8,"II0.5:RR10",155,17.9,"II0.5:RR10",102,11.4
"31","II0.9:RR10",242,32.8,"II0.9:RR10",215,29.5,"II0.9:RR10",176,23.2,"II0.9:RR10",251,32.1,"II0.9:RR10",232,29.7,"II0.9:RR10",146,18.3
"32","II0.5:anlDP_diffuse",6,0.8,"II0.5:anlDP_diffuse",6,0.7,"II0.5:anlDP_diffuse",6,0.8,"II0.5:anlDP_diffuse",2,0.3,"II0.5:anlDP_diffuse",6,0.7,"II0.5:anlDP_diffuse",4,0.4
"33","II0.9:anlDP_diffuse",2,0.2,"II0.9:anlDP_diffuse",6,0.8,"II0.9:anlDP_diffuse",-5,-0.7,"II0.9:anlDP_diffuse",-4,-0.6,"II0.9:anlDP_diffuse",0,0,"II0.9:anlDP_diffuse",-6,-0.8
"34","II0.5:anlDP_Inform",9,1.1,"II0.5:anlDP_Inform",8,0.9,"II0.5:anlDP_Inform",10,1.2,"II0.5:anlDP_Inform",9,1.1,"II0.5:anlDP_Inform",5,0.6,"II0.5:anlDP_Inform",14,1.6
"35","II0.9:anlDP_Inform",7,0.9,"II0.9:anlDP_Inform",5,0.7,"II0.9:anlDP_Inform",-2,-0.3,"II0.9:anlDP_Inform",1,0.1,"II0.9:anlDP_Inform",0,0,"II0.9:anlDP_Inform",2,0.2
"36","II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0,"II0.5:estCB",0,0
"37","II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0,"II0.9:estCB",0,0
"38","II0.5:estGR",-2,-0.2,"II0.5:estGR",-4,-0.5,"II0.5:estGR",-7,-0.8,"II0.5:estGR",-2,-0.3,"II0.5:estGR",-5,-0.5,"II0.5:estGR",-4,-0.5
"39","II0.9:estGR",0,0,"II0.9:estGR",-3,-0.4,"II0.9:estGR",-4,-0.6,"II0.9:estGR",-3,-0.4,"II0.9:estGR",-2,-0.3,"II0.9:estGR",-5,-0.6
"40","RR5:anlDP_diffuse",9,1.3,"RR5:anlDP_diffuse",4,0.6,"RR5:anlDP_diffuse",2,0.2,"RR5:anlDP_diffuse",6,0.8,"RR5:anlDP_diffuse",3,0.5,"RR5:anlDP_diffuse",0,0.1
"41","RR10:anlDP_diffuse",16,2.2,"RR10:anlDP_diffuse",10,1.4,"RR10:anlDP_diffuse",2,0.3,"RR10:anlDP_diffuse",9,1.3,"RR10:anlDP_diffuse",11,1.5,"RR10:anlDP_diffuse",8,1
"42","RR5:anlDP_Inform",4,0.5,"RR5:anlDP_Inform",5,0.8,"RR5:anlDP_Inform",0,0,"RR5:anlDP_Inform",2,0.3,"RR5:anlDP_Inform",2,0.3,"RR5:anlDP_Inform",-1,-0.2
"43","RR10:anlDP_Inform",5,0.7,"RR10:anlDP_Inform",7,0.9,"RR10:anlDP_Inform",-2,-0.2,"RR10:anlDP_Inform",3,0.4,"RR10:anlDP_Inform",7,0.9,"RR10:anlDP_Inform",1,0.1
"44","RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0,"RR5:estCB",0,0
"45","RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0,"RR10:estCB",0,0
"46","RR5:estGR",-2,-0.3,"RR5:estGR",-3,-0.4,"RR5:estGR",-5,-0.6,"RR5:estGR",-3,-0.4,"RR5:estGR",-3,-0.4,"RR5:estGR",-4,-0.5
"47","RR10:estGR",-4,-0.6,"RR10:estGR",-6,-0.8,"RR10:estGR",-9,-1.2,"RR10:estGR",-4,-0.6,"RR10:estGR",-5,-0.7,"RR10:estGR",-7,-1
"48","anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0,"anlDP_diffuse:estCB",0,0
"49","anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0,"anlDP_Inform:estCB",0,0
"50","anlDP_diffuse:estGR",-4,-0.5,"anlDP_diffuse:estGR",-3,-0.5,"anlDP_diffuse:estGR",-2,-0.3,"anlDP_diffuse:estGR",-2,-0.4,"anlDP_diffuse:estGR",-3,-0.5,"anlDP_diffuse:estGR",-3,-0.4
"51","anlDP_Inform:estGR",-3,-0.4,"anlDP_Inform:estGR",-2,-0.2,"anlDP_Inform:estGR",-1,-0.2,"anlDP_Inform:estGR",-1,-0.2,"anlDP_Inform:estGR",-2,-0.3,"anlDP_Inform:estGR",-2,-0.3
