"","SEL_rank","SEL_rank_PM","SEL_rank_CB","SEL_rank_GR","SEL_rank_ML"
"1",0.0707692307692308,0.070414201183432,0.070414201183432,0.0707692307692308,0.0752662721893491
"2",0.0576331360946746,0.0530177514792899,0.0530177514792899,0.0576331360946746,0.0462721893491124
"3",0.0315976331360947,0.0337278106508876,0.0337278106508876,0.0315976331360947,0.0435502958579882
"4",0.0766863905325444,0.0753846153846154,0.0753846153846154,0.0766863905325444,0.0907692307692308
"5",0.0700591715976331,0.070887573964497,0.070887573964497,0.0700591715976331,0.0784615384615385
"6",0.0572781065088757,0.0527810650887574,0.0527810650887574,0.0572781065088757,0.0601183431952663
"7",0.0467455621301775,0.0473372781065089,0.0473372781065089,0.0467455621301775,0.0538461538461538
"8",0.029112426035503,0.029585798816568,0.029585798816568,0.029112426035503,0.0355029585798817
"9",0.0558579881656805,0.0551479289940828,0.0551479289940828,0.0558579881656805,0.0692307692307692
"10",0.053491124260355,0.0545562130177515,0.0545562130177515,0.053491124260355,0.0736094674556213
"11",0.056094674556213,0.0552662721893491,0.0552662721893491,0.056094674556213,0.0596449704142012
"12",0.048284023668639,0.047810650887574,0.047810650887574,0.048284023668639,0.0510059171597633
"13",0.08,0.0781065088757397,0.0781065088757397,0.08,0.0758579881656805
"14",0.0375147928994083,0.0375147928994083,0.0375147928994083,0.0375147928994083,0.052189349112426
"15",0.0698224852071006,0.0706508875739645,0.0706508875739645,0.0698224852071006,0.0815384615384615
"16",0.045207100591716,0.0449704142011834,0.0449704142011834,0.045207100591716,0.0631952662721893
"17",0.0697041420118343,0.0671005917159763,0.0671005917159763,0.0697041420118343,0.0700591715976331
"18",0.0531360946745562,0.0519526627218935,0.0519526627218935,0.0531360946745562,0.0536094674556213
"19",0.034792899408284,0.0362130177514793,0.0362130177514793,0.034792899408284,0.0424852071005917
"20",0.0553846153846154,0.0532544378698225,0.0532544378698225,0.0553846153846154,0.0456804733727811
"21",0.0479289940828402,0.053491124260355,0.053491124260355,0.0479289940828402,0.0609467455621302
"22",0.0608284023668639,0.0596449704142012,0.0596449704142012,0.0608284023668639,0.0706508875739645
"23",0.0371597633136095,0.0368047337278107,0.0368047337278107,0.0371597633136095,0.0594082840236686
"24",0.038698224852071,0.043905325443787,0.043905325443787,0.038698224852071,0.0624852071005917
"25",0.0596449704142012,0.0598816568047337,0.0598816568047337,0.0596449704142012,0.0584615384615385
"26",0.0564497041420118,0.0545562130177515,0.0545562130177515,0.0564497041420118,0.0528994082840237
"27",0.0359763313609467,0.0351479289940828,0.0351479289940828,0.0359763313609467,0.0331360946745562
"28",0.0881656804733728,0.0789349112426035,0.0789349112426035,0.0881656804733728,0.052189349112426
"29",0.0299408284023669,0.0280473372781065,0.0280473372781065,0.0299408284023669,0.0282840236686391
"30",0.0611834319526627,0.0629585798816568,0.0629585798816568,0.0611834319526627,0.0653254437869823
"31",0.0591715976331361,0.0617751479289941,0.0617751479289941,0.0591715976331361,0.0641420118343195
"32",0.0201183431952663,0.0188165680473373,0.0188165680473373,0.0201183431952663,0.0263905325443787
"33",0.0407100591715976,0.0411834319526627,0.0411834319526627,0.0407100591715976,0.0364497041420118
"34",0.0486390532544379,0.0499408284023669,0.0499408284023669,0.0486390532544379,0.0676923076923077
"35",0.0771597633136095,0.0758579881656805,0.0758579881656805,0.0771597633136095,0.073491124260355
"36",0.0620118343195266,0.0623668639053254,0.0623668639053254,0.0620118343195266,0.0694674556213018
"37",0.041301775147929,0.0397633136094675,0.0397633136094675,0.041301775147929,0.0603550295857988
"38",0.0538461538461538,0.0558579881656805,0.0558579881656805,0.0538461538461538,0.0549112426035503
"39",0.0466272189349112,0.0480473372781065,0.0480473372781065,0.0466272189349112,0.0460355029585799
"40",0.0344378698224852,0.0337278106508876,0.0337278106508876,0.0344378698224852,0.0287573964497041
"41",0.0634319526627219,0.0615384615384615,0.0615384615384615,0.0634319526627219,0.0861538461538462
"42",0.067810650887574,0.071715976331361,0.071715976331361,0.067810650887574,0.0688757396449704
"43",0.0566863905325444,0.0564497041420118,0.0564497041420118,0.0566863905325444,0.0657988165680473
"44",0.0653254437869822,0.0640236686390533,0.0640236686390533,0.0653254437869822,0.0674556213017752
"45",0.0498224852071006,0.0487573964497041,0.0487573964497041,0.0498224852071006,0.0540828402366864
"46",0.043905325443787,0.0431952662721894,0.0431952662721894,0.043905325443787,0.0489940828402367
"47",0.0532544378698225,0.047810650887574,0.047810650887574,0.0532544378698225,0.0461538461538462
"48",0.043905325443787,0.0394082840236686,0.0394082840236686,0.043905325443787,0.0363313609467456
"49",0.0707692307692308,0.0706508875739645,0.0706508875739645,0.0707692307692308,0.0803550295857988
"50",0.0653254437869822,0.0653254437869822,0.0653254437869822,0.0653254437869822,0.0681656804733728
"51",0.0660355029585799,0.0679289940828402,0.0679289940828402,0.0660355029585799,0.0757396449704142
"52",0.0615384615384615,0.0653254437869822,0.0653254437869822,0.0615384615384615,0.0675739644970414
"53",0.0555029585798817,0.0603550295857988,0.0603550295857988,0.0555029585798817,0.0713609467455621
"54",0.0698224852071006,0.0715976331360947,0.0715976331360947,0.0698224852071006,0.0700591715976331
"55",0.0743195266272189,0.0753846153846154,0.0753846153846154,0.0743195266272189,0.0676923076923077
"56",0.0854437869822485,0.0882840236686391,0.0882840236686391,0.0854437869822485,0.0962130177514793
"57",0.0649704142011834,0.072189349112426,0.072189349112426,0.0649704142011834,0.078698224852071
"58",0.0672189349112426,0.0674556213017752,0.0674556213017752,0.0672189349112426,0.0836686390532544
"59",0.0566863905325444,0.0520710059171598,0.0520710059171598,0.0566863905325444,0.0422485207100592
"60",0.0609467455621302,0.063905325443787,0.063905325443787,0.0609467455621302,0.068284023668639
"61",0.0353846153846154,0.0352662721893491,0.0352662721893491,0.0353846153846154,0.0312426035502959
"62",0.0772781065088757,0.0782248520710059,0.0782248520710059,0.0772781065088757,0.0888757396449704
"63",0.0440236686390532,0.0430769230769231,0.0430769230769231,0.0440236686390532,0.0379881656804734
"64",0.037396449704142,0.0407100591715976,0.0407100591715976,0.037396449704142,0.052189349112426
"65",0.0884023668639053,0.0875739644970414,0.0875739644970414,0.0884023668639053,0.0885207100591716
"66",0.0423668639053255,0.0402366863905325,0.0402366863905325,0.0423668639053255,0.0446153846153846
"67",0.033491124260355,0.0310059171597633,0.0310059171597633,0.033491124260355,0.029112426035503
"68",0.0443786982248521,0.0471005917159763,0.0471005917159763,0.0443786982248521,0.0693491124260355
"69",0.0742011834319527,0.0779881656804734,0.0779881656804734,0.0742011834319527,0.093491124260355
"70",0.0850887573964497,0.0841420118343195,0.0841420118343195,0.0850887573964497,0.089112426035503
