"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.048,-0.002
"2","PM",0.1,0.1006,6e-04
"3","PM",0.25,0.242,-0.008
"4","PM",0.75,0.7278,-0.0222
"5","PM",0.9,0.9156,0.0156
"6","PM",0.95,0.958,0.008
"7","CB",0.05,0.0601999999999999,0.0102
"8","CB",0.1,0.116,0.016
"9","CB",0.25,0.257,0.007
"10","CB",0.75,0.7236,-0.0264
"11","CB",0.9,0.9044,0.0044
"12","CB",0.95,0.949999999999999,0
"13","GR",0.05,0.0703999999999999,0.0204
"14","GR",0.1,0.123,0.023
"15","GR",0.25,0.2534,0.0034
"16","GR",0.75,0.7094,-0.0406
"17","GR",0.9,0.9132,0.0132
"18","GR",0.95,0.9538,0.0038
"19","ML",0.05,0.0743999999999999,0.0244
"20","ML",0.1,0.1302,0.0302
"21","ML",0.25,0.2724,0.0224
"22","ML",0.75,0.7194,-0.0306
"23","ML",0.9,0.891400000000001,-0.0086
"24","ML",0.95,0.940399999999999,-0.0096
