"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0156,-0.0344
"2","PM",0.1,0.0368,-0.0632
"3","PM",0.25,0.1448,-0.1052
"4","PM",0.75,0.8288,0.0788
"5","PM",0.9,0.9404,0.0404
"6","PM",0.95,0.9736,0.0236
"7","CB",0.05,0.0488,-0.0012
"8","CB",0.1,0.084,-0.016
"9","CB",0.25,0.2092,-0.0408
"10","CB",0.75,0.7596,0.0096
"11","CB",0.9,0.889200000000001,-0.0108
"12","CB",0.95,0.934,-0.016
"13","GR",0.05,0.0484,-0.0016
"14","GR",0.1,0.0864,-0.0136
"15","GR",0.25,0.208,-0.042
"16","GR",0.75,0.756000000000001,0.006
"17","GR",0.9,0.892,-0.008
"18","GR",0.95,0.9396,-0.0104
"19","ML",0.05,0.136,0.086
"20","ML",0.1,0.1864,0.0864
"21","ML",0.25,0.3072,0.0572
"22","ML",0.75,0.6584,-0.0916
"23","ML",0.9,0.7988,-0.1012
"24","ML",0.95,0.854800000000001,-0.0952
