"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,4e-04
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,8e-04
"[-4.8,-4.56)",0,0,0,8e-04
"[-4.56,-4.32)",0,0,0,0.002
"[-4.32,-4.08)",0,0,0,0.002
"[-4.08,-3.84)",0,0,0,0.0056
"[-3.84,-3.6)",0,0.0012,0,0.0052
"[-3.6,-3.36)",0,0,0,0.0076
"[-3.36,-3.12)",0,8e-04,8e-04,0.0052
"[-3.12,-2.88)",4e-04,0.0016,0.0016,0.0048
"[-2.88,-2.64)",4e-04,0.0036,0.0032,0.0104
"[-2.64,-2.4)",4e-04,0.0036,0.0036,0.0128
"[-2.4,-2.16)",0.0024,0.0084,0.0096,0.0168
"[-2.16,-1.92)",0.0048,0.01,0.0084,0.0252
"[-1.92,-1.68)",0.0056,0.016,0.0192,0.0296
"[-1.68,-1.44)",0.012,0.0244,0.0224,0.034
"[-1.44,-1.2)",0.0196,0.0304,0.0284,0.0352
"[-1.2,-0.96)",0.0276,0.0476,0.0428,0.0448
"[-0.96,-0.72)",0.0564,0.0476,0.0588,0.0528
"[-0.72,-0.48)",0.07,0.076,0.0704,0.0548
"[-0.48,-0.24)",0.0964,0.0964,0.0896,0.0668
"[-0.24,0)",0.1684,0.1004,0.1148,0.0604
"[0,0.24)",0.1616,0.1128,0.1152,0.0672
"[0.24,0.48)",0.1284,0.1024,0.0996,0.0572
"[0.48,0.72)",0.088,0.088,0.08,0.0648
"[0.72,0.96)",0.0516,0.0612,0.062,0.0636
"[0.96,1.2)",0.0352,0.0484,0.0508,0.0544
"[1.2,1.44)",0.032,0.0292,0.0332,0.0408
"[1.44,1.68)",0.0148,0.0252,0.0276,0.034
"[1.68,1.92)",0.0088,0.0236,0.0192,0.0324
"[1.92,2.16)",0.0072,0.0176,0.0156,0.0224
"[2.16,2.4)",0.0032,0.0072,0.0084,0.0164
"[2.4,2.64)",0.0036,0.0072,0.0048,0.0144
"[2.64,2.88)",4e-04,0.002,0.0044,0.0104
"[2.88,3.12)",0,0.0024,0.0044,0.0076
"[3.12,3.36)",4e-04,0.0036,4e-04,0.0072
"[3.36,3.6)",0,0,4e-04,0.0056
"[3.6,3.84)",0,4e-04,0,0.006
"[3.84,4.08)",0,4e-04,0,0.0032
"[4.08,4.32)",4e-04,0,4e-04,0.0028
"[4.32,4.56)",0,0,0,0.0016
"[4.56,4.8)",0,0,0,0.0024
"[4.8,5.04)",0,0,0,0.0012
"[5.04,5.28)",0,4e-04,0,0.0016
"[5.28,5.52)",0,0,0,8e-04
"[5.52,5.76)",0,0,0,4e-04
"[5.76,6)",0,0,0,8e-04
