"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0184,-0.0316
"2","PM",0.1,0.0328,-0.0672
"3","PM",0.25,0.1288,-0.1212
"4","PM",0.75,0.882,0.132
"5","PM",0.9,0.9712,0.0712
"6","PM",0.95,0.9856,0.0356
"7","CB",0.05,0.0384,-0.0116
"8","CB",0.1,0.0772,-0.0228
"9","CB",0.25,0.2028,-0.0472
"10","CB",0.75,0.7984,0.0484
"11","CB",0.9,0.9232,0.0232
"12","CB",0.95,0.9612,0.0112
"13","GR",0.05,0.0412,-0.0088
"14","GR",0.1,0.0756000000000001,-0.0244
"15","GR",0.25,0.1936,-0.0564
"16","GR",0.75,0.812,0.062
"17","GR",0.9,0.9264,0.0264
"18","GR",0.95,0.958799999999999,0.0088
"19","ML",0.05,0.1232,0.0732
"20","ML",0.1,0.1832,0.0832
"21","ML",0.25,0.3064,0.0564
"22","ML",0.75,0.6928,-0.0572
"23","ML",0.9,0.8248,-0.0752
"24","ML",0.95,0.8804,-0.0696
