"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,4e-04
"[-5.76,-5.52)",0,0,0,8e-04
"[-5.52,-5.28)",0,0,0,0.0012
"[-5.28,-5.04)",0,0,0,4e-04
"[-5.04,-4.8)",0,0,0,0.0024
"[-4.8,-4.56)",0,0,0,0.0028
"[-4.56,-4.32)",0,0,0,0.0048
"[-4.32,-4.08)",0,0,0,0.0028
"[-4.08,-3.84)",0,0,0,0.0048
"[-3.84,-3.6)",0,4e-04,0,0.0044
"[-3.6,-3.36)",0,4e-04,8e-04,0.0056
"[-3.36,-3.12)",0,4e-04,0,0.006
"[-3.12,-2.88)",4e-04,0.0012,8e-04,0.006
"[-2.88,-2.64)",4e-04,0.0012,0,0.01
"[-2.64,-2.4)",4e-04,0.0016,0.0044,0.0116
"[-2.4,-2.16)",8e-04,0.0068,0.0048,0.0168
"[-2.16,-1.92)",0.0012,0.006,0.0116,0.0228
"[-1.92,-1.68)",0.0028,0.0124,0.0156,0.0232
"[-1.68,-1.44)",0.0096,0.0244,0.0248,0.0312
"[-1.44,-1.2)",0.0152,0.032,0.034,0.0452
"[-1.2,-0.96)",0.0336,0.064,0.0548,0.0596
"[-0.96,-0.72)",0.0684,0.0768,0.0704,0.058
"[-0.72,-0.48)",0.1176,0.0984,0.0956,0.0816
"[-0.48,-0.24)",0.1428,0.1116,0.1072,0.072
"[-0.24,0)",0.1584,0.114,0.11,0.0628
"[0,0.24)",0.1488,0.1012,0.104,0.0652
"[0.24,0.48)",0.0956,0.0888,0.084,0.0544
"[0.48,0.72)",0.0616,0.0612,0.0648,0.0476
"[0.72,0.96)",0.0404,0.046,0.0512,0.0356
"[0.96,1.2)",0.0292,0.0328,0.0408,0.0296
"[1.2,1.44)",0.024,0.0252,0.0336,0.0372
"[1.44,1.68)",0.0168,0.024,0.0248,0.0332
"[1.68,1.92)",0.0116,0.0136,0.0204,0.0292
"[1.92,2.16)",0.0092,0.0152,0.0156,0.022
"[2.16,2.4)",0.0076,0.0152,0.0096,0.0232
"[2.4,2.64)",0.002,0.0068,0.0072,0.0172
"[2.64,2.88)",8e-04,0.0092,0.004,0.0112
"[2.88,3.12)",8e-04,0.0052,0.0028,0.01
"[3.12,3.36)",0,0.0024,0.0016,0.0064
"[3.36,3.6)",0,4e-04,8e-04,0.0072
"[3.6,3.84)",0,0.0012,0,0.0072
"[3.84,4.08)",0,0,0,0.0036
"[4.08,4.32)",0,0,0,0.0044
"[4.32,4.56)",0,0,0,0.0036
"[4.56,4.8)",0,0,0,0.0016
"[4.8,5.04)",0,0,0,0.0016
"[5.04,5.28)",0,0,0,0.002
"[5.28,5.52)",0,0,0,8e-04
"[5.52,5.76)",0,0,0,0.0016
"[5.76,6)",0,0,0,8e-04
