"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.016,-0.034
"2","PM",0.1,0.0688,-0.0312
"3","PM",0.25,0.194,-0.056
"4","PM",0.75,0.766,0.016
"5","PM",0.9,0.9552,0.0552
"6","PM",0.95,0.9932,0.0432
"7","CB",0.05,0.0948,0.0448
"8","CB",0.1,0.152,0.052
"9","CB",0.25,0.3036,0.0536
"10","CB",0.75,0.7012,-0.0488
"11","CB",0.9,0.8448,-0.0552
"12","CB",0.95,0.9072,-0.0428
"13","GR",0.05,0.0816,0.0316
"14","GR",0.1,0.144,0.044
"15","GR",0.25,0.2936,0.0436
"16","GR",0.75,0.706,-0.044
"17","GR",0.9,0.8612,-0.0388
"18","GR",0.95,0.9244,-0.0256
"19","ML",0.05,0.3156,0.2656
"20","ML",0.1,0.354,0.254
"21","ML",0.25,0.4268,0.1768
"22","ML",0.75,0.5688,-0.1812
"23","ML",0.9,0.6372,-0.2628
"24","ML",0.95,0.6784,-0.2716
