"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0652,0.0152
"2","PM",0.1,0.1132,0.0132
"3","PM",0.25,0.2496,-4e-04
"4","PM",0.75,0.7266,-0.0234
"5","PM",0.9,0.9472,0.0472
"6","PM",0.95,0.968,0.018
"7","CB",0.05,0.085,0.035
"8","CB",0.1,0.1376,0.0376
"9","CB",0.25,0.275,0.025
"10","CB",0.75,0.7108,-0.0392
"11","CB",0.9,0.9368,0.0368
"12","CB",0.95,0.962,0.012
"13","GR",0.05,0.087,0.037
"14","GR",0.1,0.1416,0.0416
"15","GR",0.25,0.2698,0.0198
"16","GR",0.75,0.7074,-0.0426
"17","GR",0.9,0.942,0.042
"18","GR",0.95,0.965,0.015
"19","ML",0.05,0.1104,0.0604
"20","ML",0.1,0.1664,0.0664
"21","ML",0.25,0.3012,0.0512
"22","ML",0.75,0.6844,-0.0656
"23","ML",0.9,0.925,0.025
"24","ML",0.95,0.9538,0.0038
