"","SEL_PM","SEL_CB","SEL_GR","SEL_ML"
"1",0.00823848966697976,0.0132240837140995,0.0429990485557473,0.00821367130040502
"2",0.00904269965085113,0.020446571838087,0.0330323426188404,0.00968870470456444
"3",0.0151340623024237,0.0247821078732624,0.0410797304812088,0.0155474514391061
"4",0.0129077310923043,0.020623769999749,0.0470782794445981,0.0133830979139299
"5",0.0195063143800035,0.0261996639155663,0.0383649430269606,0.0195021791614424
"6",0.0159412118562029,0.0236989400950784,0.0343160477969529,0.0162594049125719
"7",0.0166473494946305,0.0267766701891228,0.0365099090214602,0.0172559063999898
"8",0.0193541635005224,0.0261278344611971,0.0576248599031894,0.0200584416109756
"9",0.0230153678000246,0.0318540275548305,0.0418095327116051,0.0238243895618458
"10",0.0287376262452525,0.0377112784184023,0.0426632442875879,0.0287560476968725
"11",0.0228529779355521,0.0328066505216813,0.051736485266296,0.0244595203091098
"12",0.024438350851161,0.0263681225962272,0.0378896145601727,0.0227545445709349
"13",0.0263626308057566,0.0324928949947966,0.0573023110038969,0.0272289202807255
"14",0.0357527268153867,0.0403925164368338,0.0578777109426036,0.035859340853931
"15",0.0450731993660451,0.051186078057453,0.069535086802462,0.0468411924233892
"16",0.0293663722317403,0.0361848873631225,0.0500919817053353,0.0318275575275008
"17",0.0360807340701006,0.0387191368032378,0.0433985090155478,0.0360142161782157
"18",0.0484976928295619,0.0561333951693679,0.0625898964098801,0.0518165404549641
"19",0.0511419120917833,0.0518239631697345,0.0593212959142237,0.0500268559386681
"20",0.0550051888758847,0.062945433706401,0.0738425069028841,0.0600929209243769
"21",0.057460109813169,0.0632772622960071,0.0667495620801962,0.0588940285650368
"22",0.0597655663117032,0.0633720061164434,0.0861900318694578,0.0643382148227568
"23",0.0832512776256306,0.085376160764646,0.0989651748759136,0.0840708034377143
"24",0.0794938501358749,0.0820627703822704,0.0915361879701945,0.0803135382030223
"25",0.0801916638396774,0.0914614771679857,0.0932170906813424,0.0940837401951967
"26",0.0987962481452716,0.110585978068409,0.110375856010819,0.117935998136646
"27",0.0909220816371865,0.104538880886088,0.103888424813778,0.110452583786315
"28",0.137107909815162,0.147005546330119,0.152270251451224,0.159313862810566
"29",0.149950439155415,0.149806685890296,0.167682984698886,0.1575492659693
"30",0.128834145833582,0.139574946005216,0.165783285018731,0.156324812738397
"31",0.139835206193551,0.142554466756043,0.153414788793816,0.158876121070281
"32",0.159250595679047,0.151476361121932,0.159192688743814,0.162262282146089
"33",0.146103750913476,0.147353516829275,0.14427347081423,0.165156947274079
"34",0.138786353618191,0.140014642267607,0.146854341851297,0.163074826827458
"35",0.152964505317025,0.16644060271075,0.16845025006996,0.224028378483647
"36",0.265843196730923,0.263570115098315,0.264313565026714,0.297785975165296
"37",0.266171017270689,0.26104457265645,0.268250013283607,0.28767733120906
"38",0.263252192347153,0.272301666690882,0.265534404735244,0.362038666910554
"39",0.318630224457766,0.316807209946623,0.331197786781268,0.39399347501845
"40",0.327863536976989,0.322456384916948,0.317047781321622,0.392528678872575
"41",0.277156582367112,0.290762814333762,0.291906388276615,0.4431194858873
"42",0.242823347952094,0.244001565884279,0.234536877282315,0.37051476012611
"43",0.310981974004088,0.316046074529173,0.308611939666686,0.489432219340714
"44",0.413124062371093,0.409136631980637,0.448196411467452,0.566369531203725
"45",0.32939006492192,0.319865546702397,0.349850005059493,0.425058087561916
"46",0.419167057807951,0.42189213080117,0.421228335028443,0.645195698535783
"47",0.430713620531126,0.426443920989483,0.422434257076058,0.633183412443469
"48",0.344530198143564,0.344109825308022,0.352640455550869,0.581193923592046
"49",0.609161673875612,0.606373145915873,0.611901077194766,1.03093860022885
"50",0.390252843899087,0.391820820249248,0.384579349183574,0.946531314424738
