"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0.0044
"[-5.76,-5.52)",0,2e-04,2e-04,0.0056
"[-5.52,-5.28)",0,4e-04,0,0.01
"[-5.28,-5.04)",0,0,0,0.008
"[-5.04,-4.8)",0,0.0012,6e-04,0.0088
"[-4.8,-4.56)",0,0.001,0.001,0.0086
"[-4.56,-4.32)",0,0.0022,0.0018,0.0106
"[-4.32,-4.08)",0,0.0024,0.0028,0.0086
"[-4.08,-3.84)",0,0.0048,0.0028,0.0132
"[-3.84,-3.6)",0,0.004,0.0046,0.0124
"[-3.6,-3.36)",0,0.0054,0.0062,0.0144
"[-3.36,-3.12)",0,0.0056,0.0068,0.0114
"[-3.12,-2.88)",0,0.0058,0.009,0.0178
"[-2.88,-2.64)",6e-04,0.0106,0.0102,0.0188
"[-2.64,-2.4)",0.0014,0.0156,0.0162,0.0182
"[-2.4,-2.16)",0.0012,0.014,0.0182,0.0192
"[-2.16,-1.92)",0.0058,0.0268,0.0248,0.0236
"[-1.92,-1.68)",0.0072,0.0316,0.029,0.0224
"[-1.68,-1.44)",0.0174,0.0362,0.0348,0.029
"[-1.44,-1.2)",0.0334,0.046,0.0428,0.026
"[-1.2,-0.96)",0.0494,0.0524,0.0496,0.0276
"[-0.96,-0.72)",0.0852,0.0558,0.0556,0.0308
"[-0.72,-0.48)",0.1004,0.063,0.061,0.0316
"[-0.48,-0.24)",0.1182,0.0702,0.0646,0.0296
"[-0.24,0)",0.1268,0.0652,0.068,0.033
"[0,0.24)",0.1122,0.0626,0.0682,0.0302
"[0.24,0.48)",0.0856,0.0638,0.064,0.0316
"[0.48,0.72)",0.0668,0.0584,0.0592,0.0326
"[0.72,0.96)",0.0634,0.0506,0.0542,0.0284
"[0.96,1.2)",0.0522,0.0428,0.046,0.0274
"[1.2,1.44)",0.0336,0.0388,0.0396,0.0252
"[1.44,1.68)",0.0178,0.0324,0.0318,0.024
"[1.68,1.92)",0.0098,0.028,0.0296,0.0258
"[1.92,2.16)",0.0058,0.0224,0.0202,0.0184
"[2.16,2.4)",0.0022,0.0176,0.019,0.0186
"[2.4,2.64)",0.0014,0.0158,0.0136,0.0192
"[2.64,2.88)",8e-04,0.011,0.011,0.0198
"[2.88,3.12)",0.001,0.0088,0.0098,0.0182
"[3.12,3.36)",2e-04,0.0086,0.0054,0.0146
"[3.36,3.6)",2e-04,0.0038,0.0058,0.012
"[3.6,3.84)",0,0.005,0.003,0.0118
"[3.84,4.08)",0,0.0022,0.0036,0.0106
"[4.08,4.32)",0,0.0018,0.0018,0.0122
"[4.32,4.56)",0,0.001,0.0016,0.0092
"[4.56,4.8)",0,0.001,4e-04,0.0094
"[4.8,5.04)",0,8e-04,6e-04,0.0078
"[5.04,5.28)",0,0.001,6e-04,0.0092
"[5.28,5.52)",0,8e-04,2e-04,0.006
"[5.52,5.76)",0,0,0,0.0046
"[5.76,6)",0,2e-04,0,0.0052
