"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0507,7e-04
"2","PM",0.1,0.0967,-0.0033
"3","PM",0.25,0.24,-0.01
"4","PM",0.75,0.7366,-0.0134
"5","PM",0.9,0.923000000000001,0.023
"6","PM",0.95,0.963599999999999,0.0136
"7","CB",0.05,0.0619,0.0119
"8","CB",0.1,0.1103,0.0103
"9","CB",0.25,0.2568,0.0068
"10","CB",0.75,0.7321,-0.0179
"11","CB",0.9,0.9105,0.0105
"12","CB",0.95,0.9547,0.0047
"13","GR",0.05,0.0724,0.0224
"14","GR",0.1,0.1222,0.0222
"15","GR",0.25,0.256,0.006
"16","GR",0.75,0.7176,-0.0324
"17","GR",0.9,0.9195,0.0195
"18","GR",0.95,0.9579,0.0079
"19","ML",0.05,0.0754,0.0254
"20","ML",0.1,0.1274,0.0274
"21","ML",0.25,0.2728,0.0228
"22","ML",0.75,0.7288,-0.0212
"23","ML",0.9,0.9004,4e-04
"24","ML",0.95,0.9448,-0.0052
