"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,4e-04,0,0.0052
"[-5.76,-5.52)",0,8e-04,4e-04,0.008
"[-5.52,-5.28)",0,6e-04,6e-04,0.0082
"[-5.28,-5.04)",0,0.001,0.0028,0.0084
"[-5.04,-4.8)",0,8e-04,0.0014,0.0102
"[-4.8,-4.56)",0,0.0022,0.0018,0.011
"[-4.56,-4.32)",0,0.0026,0.0032,0.0116
"[-4.32,-4.08)",0,0.0024,0.0042,0.012
"[-4.08,-3.84)",0,0.005,0.0048,0.0138
"[-3.84,-3.6)",2e-04,0.0064,0.0054,0.0134
"[-3.6,-3.36)",4e-04,0.0112,0.0106,0.0158
"[-3.36,-3.12)",8e-04,0.0104,0.0082,0.018
"[-3.12,-2.88)",4e-04,0.016,0.0142,0.0192
"[-2.88,-2.64)",0.0026,0.019,0.0152,0.0216
"[-2.64,-2.4)",0.0032,0.0208,0.0172,0.0268
"[-2.4,-2.16)",0.0072,0.0218,0.0224,0.0246
"[-2.16,-1.92)",0.0142,0.0266,0.0278,0.024
"[-1.92,-1.68)",0.023,0.0292,0.0304,0.0202
"[-1.68,-1.44)",0.0306,0.0372,0.0354,0.0268
"[-1.44,-1.2)",0.0462,0.0436,0.0428,0.0286
"[-1.2,-0.96)",0.0602,0.0456,0.0434,0.0282
"[-0.96,-0.72)",0.0632,0.0492,0.049,0.022
"[-0.72,-0.48)",0.0734,0.0504,0.0548,0.0236
"[-0.48,-0.24)",0.084,0.0528,0.0546,0.0252
"[-0.24,0)",0.088,0.0492,0.056,0.0268
"[0,0.24)",0.0978,0.0506,0.0576,0.0316
"[0.24,0.48)",0.0932,0.047,0.0546,0.0256
"[0.48,0.72)",0.084,0.051,0.0532,0.0308
"[0.72,0.96)",0.0694,0.0516,0.0492,0.0278
"[0.96,1.2)",0.0548,0.0428,0.0428,0.0298
"[1.2,1.44)",0.04,0.0428,0.0408,0.0264
"[1.44,1.68)",0.0262,0.0388,0.0328,0.0258
"[1.68,1.92)",0.016,0.035,0.0322,0.0262
"[1.92,2.16)",0.0104,0.0274,0.0244,0.0256
"[2.16,2.4)",0.005,0.0238,0.021,0.0182
"[2.4,2.64)",0.002,0.0176,0.0174,0.0222
"[2.64,2.88)",0.002,0.0148,0.016,0.018
"[2.88,3.12)",4e-04,0.0132,0.0102,0.0176
"[3.12,3.36)",4e-04,0.0114,0.0096,0.0214
"[3.36,3.6)",0,0.0074,0.0082,0.0166
"[3.6,3.84)",2e-04,0.004,0.005,0.0142
"[3.84,4.08)",2e-04,0.0048,0.005,0.0138
"[4.08,4.32)",4e-04,0.003,0.0032,0.0156
"[4.32,4.56)",0,0.0016,0.0032,0.0136
"[4.56,4.8)",0,0.0014,0.002,0.0092
"[4.8,5.04)",0,0.0018,0.0022,0.0126
"[5.04,5.28)",0,0.001,4e-04,0.0104
"[5.28,5.52)",0,4e-04,0.001,0.0094
"[5.52,5.76)",0,0,2e-04,0.006
"[5.76,6)",0,0,0,0.0046
