"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.1218,0.0718
"2","PM",0.1,0.168,0.068
"3","PM",0.25,0.2642,0.0142
"4","PM",0.75,0.6524,-0.0976
"5","PM",0.9,0.9644,0.0644
"6","PM",0.95,0.985,0.035
"7","CB",0.05,0.2518,0.2018
"8","CB",0.1,0.2924,0.1924
"9","CB",0.25,0.36,0.11
"10","CB",0.75,0.586,-0.164
"11","CB",0.9,0.832999999999999,-0.067
"12","CB",0.95,0.8812,-0.0688
"13","GR",0.05,0.2412,0.1912
"14","GR",0.1,0.2776,0.1776
"15","GR",0.25,0.349,0.099
"16","GR",0.75,0.5976,-0.1524
"17","GR",0.9,0.8422,-0.0578
"18","GR",0.95,0.8836,-0.0664
"19","ML",0.05,0.3638,0.3138
"20","ML",0.1,0.3866,0.2866
"21","ML",0.25,0.422,0.172
"22","ML",0.75,0.5448,-0.2052
"23","ML",0.9,0.6942,-0.2058
"24","ML",0.95,0.7326,-0.2174
