"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",2e-04,2e-04,2e-04,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,2e-04,0,2e-04
"[-5.04,-4.8)",2e-04,2e-04,2e-04,2e-04
"[-4.8,-4.56)",2e-04,2e-04,2e-04,2e-04
"[-4.56,-4.32)",0,2e-04,0,8e-04
"[-4.32,-4.08)",4e-04,2e-04,4e-04,0.001
"[-4.08,-3.84)",2e-04,2e-04,2e-04,0.001
"[-3.84,-3.6)",2e-04,6e-04,2e-04,0.0026
"[-3.6,-3.36)",2e-04,0.0012,4e-04,0.0022
"[-3.36,-3.12)",8e-04,0.0018,0.0014,0.0026
"[-3.12,-2.88)",0.0014,0.002,0.0024,0.0044
"[-2.88,-2.64)",0.002,0.0026,0.0026,0.003
"[-2.64,-2.4)",0.0016,0.0044,0.0044,0.0076
"[-2.4,-2.16)",0.0038,0.0054,0.0046,0.0084
"[-2.16,-1.92)",0.0066,0.0092,0.0106,0.0164
"[-1.92,-1.68)",0.0092,0.0114,0.0138,0.0178
"[-1.68,-1.44)",0.0134,0.0176,0.021,0.0322
"[-1.44,-1.2)",0.0194,0.028,0.0314,0.0396
"[-1.2,-0.96)",0.0378,0.0448,0.0432,0.0498
"[-0.96,-0.72)",0.0538,0.0578,0.0618,0.0622
"[-0.72,-0.48)",0.0864,0.0828,0.082,0.0714
"[-0.48,-0.24)",0.1202,0.1106,0.1022,0.086
"[-0.24,0)",0.1402,0.1162,0.115,0.0888
"[0,0.24)",0.1402,0.1198,0.1142,0.089
"[0.24,0.48)",0.1204,0.1076,0.1024,0.0868
"[0.48,0.72)",0.0908,0.0838,0.0816,0.0704
"[0.72,0.96)",0.0518,0.0624,0.062,0.063
"[0.96,1.2)",0.0322,0.039,0.044,0.0512
"[1.2,1.44)",0.0198,0.0236,0.0302,0.0374
"[1.44,1.68)",0.015,0.017,0.0212,0.028
"[1.68,1.92)",0.0104,0.0152,0.0158,0.0214
"[1.92,2.16)",0.0078,0.0094,0.0088,0.0154
"[2.16,2.4)",0.0032,0.0084,0.007,0.0108
"[2.4,2.64)",0.0028,0.0038,0.0054,0.0074
"[2.64,2.88)",0.001,0.0024,0.002,0.0056
"[2.88,3.12)",0.0022,0.0026,0.0022,0.0026
"[3.12,3.36)",8e-04,0.0016,0.0016,0.004
"[3.36,3.6)",0.0014,0.0012,0.001,0.002
"[3.6,3.84)",6e-04,0.001,4e-04,0.0012
"[3.84,4.08)",4e-04,0.001,0.001,8e-04
"[4.08,4.32)",0,8e-04,0,0.0012
"[4.32,4.56)",2e-04,4e-04,2e-04,0.0012
"[4.56,4.8)",4e-04,0,4e-04,8e-04
"[4.8,5.04)",2e-04,2e-04,2e-04,4e-04
"[5.04,5.28)",0,2e-04,0,4e-04
"[5.28,5.52)",0,2e-04,0,0
"[5.52,5.76)",0,2e-04,0,0
"[5.76,6)",0,0,0,0
