"","estimator","tail_p","quantile","diff"
"1","PM",0.05,0.0426,-0.0074
"2","PM",0.1,0.0849999999999999,-0.015
"3","PM",0.25,0.2346,-0.0154
"4","PM",0.75,0.7582,0.0082
"5","PM",0.9,0.9086,0.0086
"6","PM",0.95,0.9606,0.0106
"7","CB",0.05,0.048,-0.002
"8","CB",0.1,0.0947999999999999,-0.0052
"9","CB",0.25,0.2464,-0.0036
"10","CB",0.75,0.7466,-0.0034
"11","CB",0.9,0.8976,-0.0024
"12","CB",0.95,0.9488,-0.0012
"13","GR",0.05,0.0482,-0.0018
"14","GR",0.1,0.096,-0.004
"15","GR",0.25,0.2448,-0.0052
"16","GR",0.75,0.7474,-0.0026
"17","GR",0.9,0.8984,-0.0016
"18","GR",0.95,0.951399999999999,0.0014
"19","ML",0.05,0.0546,0.0046
"20","ML",0.1,0.1046,0.0046
"21","ML",0.25,0.2574,0.0074
"22","ML",0.75,0.7364,-0.0136
"23","ML",0.9,0.8842,-0.0158
"24","ML",0.95,0.9414,-0.0086
