"","theta_pm","theta_cb","theta_gr","theta_ml"
"[-6,-5.76)",0,0,0,0
"[-5.76,-5.52)",0,0,0,0
"[-5.52,-5.28)",0,0,0,0
"[-5.28,-5.04)",0,0,0,0
"[-5.04,-4.8)",0,0,0,0
"[-4.8,-4.56)",0,0,0,0
"[-4.56,-4.32)",0,0,0,2e-04
"[-4.32,-4.08)",0,0,0,0
"[-4.08,-3.84)",0,0,0,4e-04
"[-3.84,-3.6)",0,0,0,6e-04
"[-3.6,-3.36)",0,0,0,0.001
"[-3.36,-3.12)",0,0,0,0.0012
"[-3.12,-2.88)",0,0,0,0.0018
"[-2.88,-2.64)",0,0,6e-04,0.0022
"[-2.64,-2.4)",0,6e-04,0.0014,0.0082
"[-2.4,-2.16)",6e-04,0.0044,0.005,0.008
"[-2.16,-1.92)",0.0026,0.007,0.0092,0.0154
"[-1.92,-1.68)",0.0062,0.0148,0.0182,0.0242
"[-1.68,-1.44)",0.0174,0.0276,0.0236,0.0378
"[-1.44,-1.2)",0.029,0.041,0.0422,0.0474
"[-1.2,-0.96)",0.0502,0.0608,0.0564,0.0568
"[-0.96,-0.72)",0.0798,0.0748,0.0736,0.0732
"[-0.72,-0.48)",0.0998,0.0962,0.0904,0.0852
"[-0.48,-0.24)",0.1276,0.105,0.0976,0.0874
"[-0.24,0)",0.1198,0.0982,0.1022,0.0774
"[0,0.24)",0.1086,0.0928,0.0954,0.0772
"[0.24,0.48)",0.0952,0.0844,0.0856,0.0696
"[0.48,0.72)",0.0762,0.073,0.0738,0.0682
"[0.72,0.96)",0.0582,0.0568,0.0598,0.0526
"[0.96,1.2)",0.0396,0.0434,0.0478,0.0422
"[1.2,1.44)",0.0324,0.0326,0.0348,0.0386
"[1.44,1.68)",0.0208,0.0274,0.0268,0.0316
"[1.68,1.92)",0.0132,0.021,0.019,0.022
"[1.92,2.16)",0.0062,0.0122,0.0132,0.0186
"[2.16,2.4)",0.007,0.007,0.009,0.0138
"[2.4,2.64)",0.003,0.0062,0.005,0.0098
"[2.64,2.88)",0.003,0.0046,0.0042,0.0078
"[2.88,3.12)",0.001,0.0024,0.002,0.0074
"[3.12,3.36)",8e-04,0.002,0.001,0.0032
"[3.36,3.6)",0.0012,0.0012,0.0012,0.0022
"[3.6,3.84)",2e-04,0.0012,6e-04,0.0032
"[3.84,4.08)",0,8e-04,0,0.001
"[4.08,4.32)",2e-04,2e-04,2e-04,8e-04
"[4.32,4.56)",2e-04,0,2e-04,4e-04
"[4.56,4.8)",0,0,0,6e-04
"[4.8,5.04)",0,2e-04,0,4e-04
"[5.04,5.28)",0,2e-04,0,0
"[5.28,5.52)",0,0,0,2e-04
"[5.52,5.76)",0,0,0,0
"[5.76,6)",0,0,0,0
