"","quantity","truth","N","ICC","rsr","assumed","estimator","value"
"1","ISEL","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML",0.39691382855619
"2","ISEL","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM",0.262270595807585
"3","ISEL","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB",0.139967075459384
"4","ISEL","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR",0.131452961441588
"5","ISEL","Gaussian","N = 25","I = 0.1","R = 1","T","ML",0.39691382855619
"6","ISEL","Gaussian","N = 25","I = 0.1","R = 1","T","PM",0.258915652690359
"7","ISEL","Gaussian","N = 25","I = 0.1","R = 1","T","CB",0.141583365328741
"8","ISEL","Gaussian","N = 25","I = 0.1","R = 1","T","GR",0.13262241041712
"9","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML",0.39691382855619
"10","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM",0.276400171383607
"11","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","CB",0.206286201227345
"12","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","GR",0.185091095255557
"13","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","ML",0.39691382855619
"14","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","PM",0.267567349271036
"15","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","CB",0.155678027715966
"16","ISEL","Gaussian","N = 25","I = 0.1","R = 1","DP-Inform","GR",0.141555084574439
"17","ISEL","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","ML",0.387683611032216
"18","ISEL","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","PM",0.217304130424597
"19","ISEL","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","CB",0.0919060156173195
"20","ISEL","Gaussian","N = 25","I = 0.1","R = 5","Gaussian","GR",0.0910553085915922
"21","ISEL","Gaussian","N = 25","I = 0.1","R = 5","T","ML",0.387683611032216
"22","ISEL","Gaussian","N = 25","I = 0.1","R = 5","T","PM",0.214416322606479
"23","ISEL","Gaussian","N = 25","I = 0.1","R = 5","T","CB",0.0941630238692199
"24","ISEL","Gaussian","N = 25","I = 0.1","R = 5","T","GR",0.091680012179557
"25","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","ML",0.387683611032216
"26","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","PM",0.193804074463073
"27","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","CB",0.117949637656589
"28","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-diffuse","GR",0.1031944191966
"29","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","ML",0.387683611032216
"30","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","PM",0.205742326486422
"31","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","CB",0.0956615557763869
"32","ISEL","Gaussian","N = 25","I = 0.1","R = 5","DP-Inform","GR",0.0897573158216842
"33","ISEL","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","ML",0.434593995515742
"34","ISEL","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","PM",0.204478321160716
"35","ISEL","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","CB",0.0975824192361286
"36","ISEL","Gaussian","N = 25","I = 0.1","R = 10","Gaussian","GR",0.093127990229082
"37","ISEL","Gaussian","N = 25","I = 0.1","R = 10","T","ML",0.434593995515742
"38","ISEL","Gaussian","N = 25","I = 0.1","R = 10","T","PM",0.202267977522997
"39","ISEL","Gaussian","N = 25","I = 0.1","R = 10","T","CB",0.0963643134052379
"40","ISEL","Gaussian","N = 25","I = 0.1","R = 10","T","GR",0.0914848957024306
"41","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","ML",0.434593995515742
"42","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","PM",0.193105094712859
"43","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","CB",0.118018434726468
"44","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-diffuse","GR",0.101691414344089
"45","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-Inform","ML",0.434593995515742
"46","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-Inform","PM",0.195054051167479
"47","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-Inform","CB",0.0929076054645089
"48","ISEL","Gaussian","N = 25","I = 0.1","R = 10","DP-Inform","GR",0.0886061041271206
"49","ISEL","Gaussian","N = 25","I = 0.5","R = 1","Gaussian","ML",0.0489886031910043
"50","ISEL","Gaussian","N = 25","I = 0.5","R = 1","Gaussian","PM",0.0713907080858499
"51","ISEL","Gaussian","N = 25","I = 0.5","R = 1","Gaussian","CB",0.0376071339403625
"52","ISEL","Gaussian","N = 25","I = 0.5","R = 1","Gaussian","GR",0.0361909411199659
"53","ISEL","Gaussian","N = 25","I = 0.5","R = 1","T","ML",0.0489886031910043
"54","ISEL","Gaussian","N = 25","I = 0.5","R = 1","T","PM",0.0736710765322586
"55","ISEL","Gaussian","N = 25","I = 0.5","R = 1","T","CB",0.0385815964653973
"56","ISEL","Gaussian","N = 25","I = 0.5","R = 1","T","GR",0.037460120143862
"57","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-diffuse","ML",0.0489886031910043
"58","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-diffuse","PM",0.0544775148436294
"59","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-diffuse","CB",0.0344817741377329
"60","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-diffuse","GR",0.0272898761131925
"61","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-Inform","ML",0.0489886031910043
"62","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-Inform","PM",0.0700554480516765
"63","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-Inform","CB",0.0427843478424702
"64","ISEL","Gaussian","N = 25","I = 0.5","R = 1","DP-Inform","GR",0.0351667654837117
"65","ISEL","Gaussian","N = 25","I = 0.5","R = 5","Gaussian","ML",0.0622705613476562
"66","ISEL","Gaussian","N = 25","I = 0.5","R = 5","Gaussian","PM",0.0670044585696802
"67","ISEL","Gaussian","N = 25","I = 0.5","R = 5","Gaussian","CB",0.0375300029133893
"68","ISEL","Gaussian","N = 25","I = 0.5","R = 5","Gaussian","GR",0.0329987210658128
"69","ISEL","Gaussian","N = 25","I = 0.5","R = 5","T","ML",0.0622705613476562
"70","ISEL","Gaussian","N = 25","I = 0.5","R = 5","T","PM",0.0679557409101918
"71","ISEL","Gaussian","N = 25","I = 0.5","R = 5","T","CB",0.038483057006234
"72","ISEL","Gaussian","N = 25","I = 0.5","R = 5","T","GR",0.0334874949036587
"73","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-diffuse","ML",0.0622705613476562
"74","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-diffuse","PM",0.0587175813042736
"75","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-diffuse","CB",0.0369539612576179
"76","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-diffuse","GR",0.0288200925283341
"77","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-Inform","ML",0.0622705613476562
"78","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-Inform","PM",0.0697110873359482
"79","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-Inform","CB",0.0437811687706724
"80","ISEL","Gaussian","N = 25","I = 0.5","R = 5","DP-Inform","GR",0.0367442240071414
"81","ISEL","Gaussian","N = 25","I = 0.5","R = 10","Gaussian","ML",0.0794684527074151
"82","ISEL","Gaussian","N = 25","I = 0.5","R = 10","Gaussian","PM",0.0685109976274366
"83","ISEL","Gaussian","N = 25","I = 0.5","R = 10","Gaussian","CB",0.0418099112995517
"84","ISEL","Gaussian","N = 25","I = 0.5","R = 10","Gaussian","GR",0.0360195400711385
"85","ISEL","Gaussian","N = 25","I = 0.5","R = 10","T","ML",0.0794684527074151
"86","ISEL","Gaussian","N = 25","I = 0.5","R = 10","T","PM",0.068253238366565
"87","ISEL","Gaussian","N = 25","I = 0.5","R = 10","T","CB",0.0417634388513586
"88","ISEL","Gaussian","N = 25","I = 0.5","R = 10","T","GR",0.0354730267419263
"89","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-diffuse","ML",0.0794684527074151
"90","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-diffuse","PM",0.063543886699234
"91","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-diffuse","CB",0.0407121937752445
"92","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-diffuse","GR",0.0341756931491942
"93","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-Inform","ML",0.0794684527074151
"94","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-Inform","PM",0.0718418298254479
"95","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-Inform","CB",0.045976979871733
"96","ISEL","Gaussian","N = 25","I = 0.5","R = 10","DP-Inform","GR",0.0426838843249755
"97","ISEL","Gaussian","N = 25","I = 0.9","R = 1","Gaussian","ML",0.0106540481065047
"98","ISEL","Gaussian","N = 25","I = 0.9","R = 1","Gaussian","PM",0.0107979491353452
"99","ISEL","Gaussian","N = 25","I = 0.9","R = 1","Gaussian","CB",0.0101422512069428
"100","ISEL","Gaussian","N = 25","I = 0.9","R = 1","Gaussian","GR",0.00798177313751454
"101","ISEL","Gaussian","N = 25","I = 0.9","R = 1","T","ML",0.0106540481065047
"102","ISEL","Gaussian","N = 25","I = 0.9","R = 1","T","PM",0.0111722968133376
"103","ISEL","Gaussian","N = 25","I = 0.9","R = 1","T","CB",0.010338227970469
"104","ISEL","Gaussian","N = 25","I = 0.9","R = 1","T","GR",0.00808536137390536
"105","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-diffuse","ML",0.0106540481065047
"106","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-diffuse","PM",0.0130099270343907
"107","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-diffuse","CB",0.0125380844944042
"108","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-diffuse","GR",0.008748926965672
"109","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-Inform","ML",0.0106540481065047
"110","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-Inform","PM",0.0164207012601997
"111","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-Inform","CB",0.0160566407506648
"112","ISEL","Gaussian","N = 25","I = 0.9","R = 1","DP-Inform","GR",0.0108342798804778
"113","ISEL","Gaussian","N = 25","I = 0.9","R = 5","Gaussian","ML",0.0120293637753689
