"","truth","N","ICC","rsr","assumed","estimator","tail_p","quantile","diff"
"1","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.05",0.3,0.25
"2","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.1",0.3416,0.2416
"3","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.25",0.4056,0.1556
"4","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.5",0.492,-0.008
"5","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.75",0.5712,-0.1788
"6","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.9",0.644,-0.256
"7","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","ML","0.95",0.6896,-0.2604
"8","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.05",0.024,-0.026
"9","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.1",0.0556,-0.0444
"10","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.25",0.148,-0.102
"11","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.5",0.4584,-0.0416
"12","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.75",0.8192,0.0692
"13","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.9",0.9368,0.0368
"14","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","PM","0.95",0.9768,0.0268
"15","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.05",0.0996,0.0496
"16","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.1",0.1536,0.0536
"17","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.25",0.2888,0.0388
"18","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.5",0.4756,-0.0244
"19","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.75",0.6796,-0.0704
"20","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.9",0.8276,-0.0724
"21","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","CB","0.95",0.8964,-0.0536
"22","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.05",0.0828,0.0328
"23","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.1",0.1292,0.0292
"24","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.25",0.2532,0.0032
"25","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.5",0.4784,-0.0216
"26","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.75",0.7092,-0.0408
"27","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.9",0.8544,-0.0456
"28","Gaussian","N = 25","I = 0.1","R = 1","Gaussian","GR","0.95",0.9064,-0.0436
"29","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.05",0.3,0.25
"30","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.1",0.3416,0.2416
"31","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.25",0.4056,0.1556
"32","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.5",0.492,-0.008
"33","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.75",0.5712,-0.1788
"34","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.9",0.644,-0.256
"35","Gaussian","N = 25","I = 0.1","R = 1","T","ML","0.95",0.6896,-0.2604
"36","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.05",0.0204,-0.0296
"37","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.1",0.0528,-0.0472
"38","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.25",0.1476,-0.1024
"39","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.5",0.48,-0.02
"40","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.75",0.806,0.056
"41","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.9",0.9336,0.0336
"42","Gaussian","N = 25","I = 0.1","R = 1","T","PM","0.95",0.9732,0.0232
"43","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.05",0.1016,0.0516
"44","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.1",0.1568,0.0568
"45","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.25",0.286,0.036
"46","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.5",0.4772,-0.0228
"47","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.75",0.6856,-0.0644
"48","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.9",0.8308,-0.0692
"49","Gaussian","N = 25","I = 0.1","R = 1","T","CB","0.95",0.886,-0.064
"50","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.05",0.0844,0.0344
"51","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.1",0.1296,0.0296
"52","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.25",0.2596,0.0096
"53","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.5",0.4812,-0.0188
"54","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.75",0.7104,-0.0396
"55","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.9",0.8488,-0.0512
"56","Gaussian","N = 25","I = 0.1","R = 1","T","GR","0.95",0.9036,-0.0464
"57","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.05",0.3,0.25
"58","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.1",0.3416,0.2416
"59","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.25",0.4056,0.1556
"60","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.5",0.492,-0.008
"61","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.75",0.5712,-0.1788
"62","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.9",0.644,-0.256
"63","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","ML","0.95",0.6896,-0.2604
"64","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.05",0.0536,0.0036
"65","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.1",0.0944,-0.0056
"66","Gaussian","N = 25","I = 0.1","R = 1","DP-diffuse","PM","0.25",0.2244,-0.0256
